coin	thr	W	g	n	net%	PF	worst_bp	2xnet%	retire2x
CRV	0.0100	4	0.20	5127	+9581	16.67	-960.2	+8046	-1920
CRV	0.0100	12	0.20	3835	+6737	15.07	-1137.8	+5593	-2275
DOGE	0.0050	1	0.75	8300	+13524	6.61	-1356.1	+11280	-2712
DOGE	0.0050	2	0.75	8676	+17912	8.25	-1047.2	+15555	-2094
DOGE	0.0050	4	0.75	8556	+18547	8.64	-1240.8	+16199	-2481
DOGE	0.0050	12	0.75	6217	+18081	10.49	-871.9	+16304	-1743
DOGE	0.0100	1	0.75	6262	+12874	6.61	-1356.1	+11173	-2712
DOGE	0.0100	2	0.75	7276	+16168	8.04	-1047.2	+14142	-2094
DOGE	0.0100	4	0.75	7415	+17795	8.63	-1240.8	+15744	-2481
DOGE	0.0100	12	0.75	5383	+16721	11.56	-871.9	+15176	-1743
DOT	0.0050	1	0.75	5212	+7142	7.20	-601.0	+5584	-1202
DOT	0.0050	2	0.75	5443	+7796	7.35	-705.6	+6253	-1411
DOT	0.0050	4	0.75	5322	+7923	7.43	-543.9	+6476	-1087
DOT	0.0050	12	0.20	3828	+5341	15.51	-638.0	+4205	-1276
DOT	0.0100	1	0.20	3654	+5561	15.99	-505.2	+4474	-1010
DOT	0.0100	2	0.20	4406	+6301	14.07	-705.6	+4979	-1411
DOT	0.0100	4	0.20	4457	+6354	16.69	-638.0	+5026	-1276
DOT	0.0100	12	0.20	3304	+4948	15.71	-638.0	+3962	-1276
ETC	0.0050	1	0.20	4770	+6170	16.97	-630.6	+4758	-1261
ETC	0.0050	2	0.20	4906	+6782	20.80	-634.9	+5322	-1269
ETC	0.0050	4	0.20	4987	+6699	17.87	-634.9	+5220	-1269
ETC	0.0050	12	0.20	3720	+5184	19.41	-630.6	+4078	-1261
ETC	0.0100	1	0.20	3090	+4586	20.09	-630.6	+3666	-1261
ETC	0.0100	2	0.20	3924	+5507	19.33	-634.9	+4329	-1269
ETC	0.0100	4	0.20	4014	+5648	18.82	-630.6	+4457	-1261
ETC	0.0100	12	0.20	3121	+4577	18.51	-666.7	+3650	-1333
FIL	0.0050	1	0.20	5567	+7879	13.68	-493.8	+6216	-987
FIL	0.0050	2	0.75	5760	+9255	7.33	-1085.0	+7725	-2170
FIL	0.0050	4	0.20	5630	+9048	15.99	-1294.9	+7367	-2589
FIL	0.0050	12	0.20	3959	+6632	18.46	-833.2	+5453	-1666
FIL	0.0100	1	0.20	4277	+6677	13.98	-1294.9	+5396	-2589
FIL	0.0100	2	0.20	4696	+7710	16.16	-1294.9	+6308	-2589
FIL	0.0100	4	0.20	4869	+8360	18.33	-746.6	+6913	-1493
FIL	0.0100	12	0.20	3522	+5991	18.72	-1303.6	+4936	-2607
GRT	0.0050	1	0.75	9114	+15762	7.07	-981.9	+13352	-1963
GRT	0.0050	2	0.20	9518	+17273	13.38	-981.9	+14434	-1963
GRT	0.0050	4	0.20	9518	+17839	15.03	-1001.7	+14999	-2003
GRT	0.0050	12	0.20	6819	+12570	14.75	-1055.6	+10541	-2111
GRT	0.0100	1	0.20	7901	+14945	14.28	-668.3	+12593	-1336
GRT	0.0100	2	0.50	8684	+16708	9.60	-1381.8	+14186	-2763
GRT	0.0100	4	0.20	8542	+16322	14.34	-1001.7	+13766	-2003
GRT	0.0100	12	0.20	5926	+11366	15.59	-1055.6	+9596	-2111
ICP	0.0050	1	0.20	5574	+7647	12.69	-812.2	+5994	-1624
ICP	0.0050	2	0.20	5847	+8874	15.23	-657.3	+7135	-1314
ICP	0.0050	4	0.20	5859	+9550	17.07	-812.2	+7806	-1624
ICP	0.0050	12	0.20	4055	+6212	14.23	-812.2	+4999	-1624
ICP	0.0100	1	0.20	4332	+6842	13.40	-812.2	+5549	-1624
ICP	0.0100	2	0.20	5094	+8312	15.51	-812.2	+6794	-1624
ICP	0.0100	4	0.20	5043	+8213	15.29	-813.4	+6705	-1626
ICP	0.0100	12	0.20	3633	+5635	14.28	-815.6	+4550	-1631
INJ	0.0050	1	0.20	5868	+9752	13.11	-777.1	+8003	-1554
INJ	0.0050	2	0.20	6083	+11429	15.27	-855.7	+9616	-1711
INJ	0.0050	4	0.75	6145	+12641	8.66	-892.3	+10884	-1784
INJ	0.0050	12	0.75	4328	+9104	7.89	-950.5	+7887	-1901
INJ	0.0100	1	0.20	5218	+9775	15.58	-570.1	+8214	-1140
INJ	0.0100	2	0.20	5682	+10856	15.92	-855.7	+9161	-1711
INJ	0.0100	4	0.20	5538	+11044	16.99	-765.1	+9386	-1530
INJ	0.0100	12	0.20	3864	+7984	17.67	-471.0	+6831	-942
LDO	0.0050	1	0.20	6233	+10002	11.81	-965.2	+8144	-1930
LDO	0.0050	2	0.20	6448	+11608	14.50	-965.2	+9667	-1930
LDO	0.0050	4	0.20	6668	+12761	15.75	-965.2	+10762	-1930
LDO	0.0050	12	0.75	4649	+9430	6.79	-2083.0	+8168	-4166
LDO	0.0100	1	0.20	5333	+10416	14.39	-965.2	+8818	-1930
LDO	0.0100	2	0.20	5984	+11618	15.80	-965.2	+9825	-1930
LDO	0.0100	4	0.20	5936	+11214	15.74	-803.9	+9440	-1607
LDO	0.0100	12	0.75	4092	+8559	6.86	-2083.0	+7464	-4166
LINK	0.0050	1	0.20	9068	+13266	13.14	-1000.8	+10554	-2001
LINK	0.0050	2	0.20	9493	+14810	14.27	-1000.8	+11976	-2001
LINK	0.0050	4	0.50	9401	+15030	9.61	-991.5	+12349	-1983
LINK	0.0050	12	0.20	6751	+10866	16.48	-744.7	+8851	-1489
LINK	0.0100	1	0.20	7107	+11655	13.52	-1000.8	+9529	-2001
LINK	0.0100	2	0.75	8069	+13677	6.50	-972.6	+11371	-1945
LINK	0.0100	4	0.75	8011	+13595	6.75	-991.5	+11236	-1983
LINK	0.0100	12	0.20	5889	+9695	16.86	-744.7	+7939	-1489
LTC	0.0050	1	0.20	8096	+10040	11.47	-776.0	+7625	-1552
LTC	0.0050	2	0.20	8574	+11051	12.79	-759.5	+8493	-1519
LTC	0.0050	4	0.20	8618	+11591	14.13	-970.8	+9023	-1941
LTC	0.0050	12	0.20	6384	+8551	14.95	-530.2	+6644	-1060
LTC	0.0100	1	0.20	5941	+8412	12.61	-776.0	+6643	-1552
LTC	0.0100	2	0.20	7002	+9747	13.79	-970.8	+7655	-1941
LTC	0.0100	4	0.20	7024	+9727	14.66	-485.5	+7635	-971
LTC	0.0100	12	0.20	5447	+7553	15.70	-492.0	+5931	-984
MANA	0.0050	1	0.75	5442	+8382	7.77	-920.0	+6816	-1840
MANA	0.0050	2	0.75	5560	+8946	7.99	-874.3	+7267	-1748
MANA	0.0050	4	0.50	5533	+8701	10.13	-964.1	+7117	-1928
MANA	0.0050	12	0.20	4088	+6342	17.61	-972.9	+5128	-1945
MANA	0.0100	1	0.20	3905	+6261	14.74	-690.8	+5095	-1381
MANA	0.0100	2	0.20	4733	+7247	15.78	-964.1	+5831	-1928
MANA	0.0100	4	0.20	4776	+7548	17.23	-964.1	+6110	-1928
MANA	0.0100	12	0.20	3529	+5469	17.69	-793.1	+4412	-1586
NEAR	0.0050	1	0.20	9258	+15130	11.10	-1174.1	+12344	-2348
NEAR	0.0050	2	0.20	9559	+17790	13.24	-959.3	+14939	-1918
NEAR	0.0050	4	0.75	9530	+19878	7.93	-1174.1	+17111	-2348
NEAR	0.0050	12	0.20	6924	+13445	15.50	-766.2	+11376	-1532
NEAR	0.0100	1	0.20	8050	+14925	12.67	-1174.1	+12506	-2348
NEAR	0.0100	2	0.20	8702	+17150	13.93	-959.3	+14551	-1918
NEAR	0.0100	4	0.75	8514	+18075	7.53	-1174.1	+15755	-2348
NEAR	0.0100	12	0.20	6218	+12328	15.82	-766.2	+10466	-1532
OP	0.0050	1	0.75	6861	+11683	7.09	-1129.4	+9836	-2258
OP	0.0050	2	0.20	7022	+12665	15.10	-881.2	+10563	-1762
OP	0.0050	4	0.20	6930	+13579	15.22	-1187.2	+11499	-2374
OP	0.0050	12	0.75	4921	+9311	6.22	-835.5	+8000	-1671
OP	0.0100	1	0.75	5588	+11558	7.24	-1129.4	+10066	-2258
OP	0.0100	2	0.20	6243	+11943	16.16	-939.1	+10073	-1878
OP	0.0100	4	0.20	6208	+12105	15.40	-1040.3	+10234	-2080
OP	0.0100	12	0.75	4405	+8680	5.97	-871.5	+7536	-1743
RUNE	0.0050	1	0.75	5664	+10197	8.27	-1440.6	+8651	-2881
RUNE	0.0050	2	0.75	5942	+10999	8.45	-738.4	+9250	-1476
RUNE	0.0050	4	0.75	5662	+11232	8.83	-795.9	+9748	-1591
