# slow-trend daily battery 35 coins x 9 strats, cost 30bp rt (2x=60bp), gate omits y2022, fills=next open
coin   strat          n     net%     PF     H1%     H2%  worst%    y22%   2xnet%   2xPF verdict
BNB    DONCH20_10    23   +534.7   8.64  +552.3   -17.6   -12.4    -1.8   +527.8   8.15 [fail]
BNB    DONCH40_20    12   +437.4   9.03  +427.2   +10.2   -17.5   -33.5   +433.8   8.67 [PASS]
BNB    DONCH55_20    11   +144.1   3.14  +150.3    -6.2   -17.5   -33.0   +140.8   3.02 [fail]
BNB    MA10_50       21   +187.4   3.83  +168.9   +18.5   -13.9   -26.1   +181.1   3.59 [PASS]
BNB    MA20_100       7   +182.4   7.35    +0.0    +0.0   -15.1   -60.0   +180.3   7.09 [fail]
BNB    MA50_200       6   +135.0   4.73    +0.0    +0.0   -22.0   -25.6   +133.2   4.62 [fail]
BNB    TSMOM30       82   +774.6   5.15  +759.5   +15.1   -34.4   -30.3   +750.0   4.69 [PASS]
BNB    TSMOM60       48   +229.5   2.97  +232.5    -3.0   -12.2   -50.6   +215.1   2.70 [fail]
BNB    TSMOM90       39   +104.6   1.82   +91.0   +13.5   -22.4   -15.1    +92.9   1.69 [PASS]
BTC    DONCH20_10    26   +124.7   2.14  +120.0    +4.8   -22.4   -45.5   +116.9   2.03 [PASS]
BTC    DONCH40_20    17    +16.7   1.19    -4.7   +21.4   -16.8   -26.9    +11.6   1.13 [fail]
BTC    DONCH55_20    15    +15.3   1.19   -36.4   +51.7   -29.1   -15.9    +10.8   1.13 [fail]
BTC    MA10_50       20   +116.1   2.22   +91.0   +25.1   -17.3   -42.1   +110.1   2.12 [PASS]
BTC    MA20_100      11   +113.7   2.12  +111.1    +2.6   -27.5   -14.4   +110.4   2.07 [PASS]
BTC    MA50_200       5    +73.4   3.75    +0.0    +0.0   -15.9    +0.0    +71.9   3.63 [fail]
BTC    TSMOM30       73   +203.3   2.28  +187.0   +16.3   -19.3   -48.5   +181.4   2.06 [PASS]
BTC    TSMOM60       36   +189.7   3.68  +161.5   +28.2    -9.5   -58.6   +178.9   3.30 [PASS]
BTC    TSMOM90       29   +138.4   2.59   -15.3  +153.7   -20.7   -40.1   +129.7   2.40 [fail]
COMP   DONCH20_10    14     +8.3   1.06   +28.7   -20.4   -23.3    +0.0     +4.1   1.03 [fail]
COMP   DONCH40_20     6    +63.2   2.11    +0.0    +0.0   -31.8    +0.0    +61.4   2.07 [fail]
COMP   DONCH55_20     5     -2.2   0.95    +0.0    +0.0   -31.8    +0.0     -3.7   0.91 [fail]
COMP   MA10_50       22    -81.1   0.59   -29.0   -52.1   -25.4    +0.0    -87.7   0.57 [fail]
COMP   MA20_100       6    -70.7   0.17    +0.0    +0.0   -33.0    +0.0    -72.5   0.16 [fail]
COMP   MA50_200       4    -86.4   0.10    +0.0    +0.0   -44.6    +0.0    -87.6   0.10 [fail]
COMP   TSMOM30       63    -12.7   0.95   +27.8   -40.5   -17.6    +0.0    -31.6   0.88 [fail]
COMP   TSMOM60       34    -62.2   0.60   -55.6    -6.6   -16.5    +0.0    -72.4   0.56 [fail]
COMP   TSMOM90       25    -92.0   0.32   -11.0   -81.1   -24.3    +0.0    -99.5   0.29 [fail]
CRV    DONCH20_10    18   +119.3   1.86   -44.0  +163.2   -23.5    +0.0   +113.9   1.80 [fail]
CRV    DONCH40_20     9    -20.3   0.83   -88.2   +68.0   -29.6    +0.0    -23.0   0.81 [fail]
CRV    DONCH55_20     7    -52.1   0.56    +0.0    +0.0   -30.6    +0.0    -54.2   0.54 [fail]
CRV    MA10_50       16    +19.2   1.11   -90.4  +109.7   -28.5    +0.0    +14.4   1.08 [fail]
CRV    MA20_100       8   -129.3   0.10   -71.3   -58.0   -38.7    +0.0   -131.7   0.10 [fail]
CRV    MA50_200       5   -189.8   0.00    +0.0    +0.0   -45.7    +0.0   -191.3   0.00 [fail]
CRV    TSMOM30       43   +187.4   1.74  +229.8   -42.4   -27.4    +0.0   +174.5   1.66 [fail]
CRV    TSMOM60       37    +34.3   1.25   -58.5   +92.8   -26.6    +0.0    +23.2   1.16 [fail]
CRV    TSMOM90       25    -59.8   0.61   -59.7    -0.1   -31.8    +0.0    -67.3   0.58 [fail]
DOGE   DONCH20_10    19   +592.4   5.55  +442.4  +149.9   -31.0   -24.2   +586.7   5.40 [PASS]
DOGE   DONCH40_20    12   +284.0   3.08   +35.8  +248.2   -25.2   -42.6   +280.4   3.02 [PASS]
DOGE   DONCH55_20    10   +275.1   3.21   +90.2  +184.9   -25.2   -42.6   +272.1   3.15 [PASS]
DOGE   MA10_50       19   +639.3   5.56  +509.3  +130.0   -27.9    -6.9   +633.6   5.40 [PASS]
DOGE   MA20_100      13   +329.3   3.09  +218.7  +110.6   -34.5   -67.8   +325.4   3.03 [PASS]
DOGE   MA50_200       4    +63.3   2.76    +0.0    +0.0   -23.2   -12.9    +62.1   2.70 [fail]
DOGE   TSMOM30       64   +660.4   3.60  +527.9  +132.5   -26.1    +7.0   +641.2   3.39 [PASS]
DOGE   TSMOM60       48   +422.9   2.57  +233.5  +189.5   -40.0   -50.3   +408.5   2.46 [PASS]
DOGE   TSMOM90       41   +254.0   2.28  +150.3  +103.7   -14.8   -51.8   +241.7   2.17 [PASS]
DOT    DONCH20_10    18    -37.6   0.73    -4.8   -32.7   -22.2    +0.0    -43.0   0.70 [fail]
DOT    DONCH40_20     8    -32.8   0.70    -5.4   -27.4   -34.7    +0.0    -35.2   0.69 [fail]
DOT    DONCH55_20     4    +38.2   2.13    +0.0    +0.0   -23.8    +0.0    +37.0   2.08 [fail]
DOT    MA10_50       18    -73.4   0.59    -5.9   -67.5   -28.8    +0.0    -78.8   0.57 [fail]
DOT    MA20_100       7    -16.5   0.76    +0.0    +0.0   -27.4    +0.0    -18.6   0.74 [fail]
DOT    MA50_200       3    -46.5   0.34    +0.0    +0.0   -51.0    +0.0    -47.4   0.34 [fail]
DOT    TSMOM30       54    -47.3   0.79   +66.8  -114.1   -15.9    +0.0    -63.5   0.74 [fail]
DOT    TSMOM60       28     +5.7   1.04   +24.3   -18.7   -26.6    +0.0     -2.7   0.98 [fail]
DOT    TSMOM90       17     +8.0   1.13   +36.7   -28.7   -30.4    +0.0     +2.9   1.04 [fail]
ETC    DONCH20_10    15    -56.2   0.58   -15.3   -40.9   -28.8    +0.0    -60.7   0.55 [fail]
ETC    DONCH40_20     6    +39.9   2.42    +0.0    +0.0   -11.8    +0.0    +38.1   2.30 [fail]
ETC    DONCH55_20     6    +10.5   1.18    +0.0    +0.0   -20.4    +0.0     +8.7   1.15 [fail]
ETC    MA10_50       14    +36.8   1.64   +14.3   +22.5   -15.8    +0.0    +32.6   1.54 [PASS]
ETC    MA20_100       7    +17.1   1.27    +0.0    +0.0   -26.0    +0.0    +15.0   1.23 [fail]
ETC    MA50_200       3    -42.7   0.32    +0.0    +0.0   -42.0    +0.0    -43.6   0.31 [fail]
ETC    TSMOM30       60   -110.5   0.51   -22.0   -88.5   -14.3    +0.0   -128.5   0.46 [fail]
ETC    TSMOM60       43    -44.6   0.69   -28.5   -16.1   -17.0    +0.0    -57.5   0.63 [fail]
ETC    TSMOM90       22    +10.2   1.14   +33.2   -23.0   -15.5    +0.0     +3.6   1.05 [fail]
ETH    DONCH20_10    26    +99.1   1.70  +139.0   -39.9   -18.9   -24.2    +91.3   1.63 [fail]
ETH    DONCH40_20    13   +171.6   5.49   +38.4  +133.2   -16.4   -60.3   +167.7   5.19 [PASS]
ETH    DONCH55_20    12   +132.4   4.21    +8.5  +123.8   -16.4   -36.5   +128.8   4.01 [PASS]
ETH    MA10_50       24   +145.6   2.31   +88.2   +57.3   -21.6   -34.1   +138.4   2.20 [PASS]
ETH    MA20_100       9   +103.0   3.06   +11.5   +91.5   -22.5   -50.8   +100.3   2.96 [PASS]
ETH    MA50_200       6    +53.2   1.92    +0.0    +0.0   -41.7    +0.0    +51.4   1.88 [fail]
ETH    TSMOM30       64   +255.7   2.60  +137.9  +117.9   -13.5   -26.2   +236.5   2.38 [PASS]
ETH    TSMOM60       35   +239.0   3.98  +169.1   +69.9   -17.2   -41.3   +228.5   3.62 [PASS]
ETH    TSMOM90       30   +124.8   2.39   +15.6  +109.2   -14.0   -44.5   +115.8   2.21 [PASS]
FIL    DONCH20_10    17    -69.7   0.59    -2.0   -67.6   -20.8    +0.0    -74.8   0.57 [fail]
FIL    DONCH40_20     6    -56.8   0.50    +0.0    +0.0   -56.6    +0.0    -58.6   0.49 [fail]
FIL    DONCH55_20     5    -56.0   0.40    +0.0    +0.0   -56.6    +0.0    -57.5   0.39 [fail]
FIL    MA10_50       20   -131.6   0.40   -27.8  -103.8   -41.8    +0.0   -137.6   0.38 [fail]
FIL    MA20_100       8    -35.3   0.49   +20.4   -55.8   -33.8    +0.0    -37.7   0.47 [fail]
FIL    MA50_200       2    -28.6   0.46    +0.0    +0.0   -53.1    +0.0    -29.2   0.45 [fail]
FIL    TSMOM30       63   -142.9   0.53   +19.3  -162.2   -56.6    +0.0   -161.8   0.49 [fail]
FIL    TSMOM60       40    -89.0   0.56   +25.7  -114.7   -34.6    +0.0   -101.0   0.52 [fail]
FIL    TSMOM90       23    -55.4   0.54   +20.7   -76.2   -25.0    +0.0    -62.3   0.50 [fail]
GRT    DONCH20_10    18   +355.8   3.22  +425.9   -70.1   -30.3   -34.2   +350.4   3.14 [fail]
GRT    DONCH40_20    11   +159.4   2.01  +257.9   -98.6   -29.6   -17.5   +156.1   1.97 [fail]
GRT    DONCH55_20     8   +168.5   2.44  +222.7   -54.2   -32.5   -29.6   +166.1   2.40 [fail]
GRT    MA10_50       20    +84.6   1.48   +52.8   +31.8   -29.0    -7.9    +78.6   1.44 [PASS]
GRT    MA20_100      12    +15.0   1.10   +81.8   -66.8   -27.5   -25.6    +11.4   1.08 [fail]
GRT    MA50_200       4    -95.5   0.23    +0.0    +0.0   -57.5    +0.0    -96.7   0.23 [fail]
GRT    TSMOM30       64   +164.2   1.54  +289.4  -125.1   -18.3   -39.7   +145.0   1.46 [fail]
GRT    TSMOM60       41   +105.9   1.49   +68.3   +37.7   -29.6   -69.2    +93.6   1.41 [PASS]
GRT    TSMOM90       28    +63.0   1.43  +116.7   -53.6   -27.8   -37.2    +54.6   1.36 [fail]
ICP    DONCH20_10    20    +41.9   1.20  +119.9   -78.0   -21.0    +0.0    +35.9   1.17 [fail]
ICP    DONCH40_20    10    +58.9   1.30  +192.5  -133.7   -34.1    +0.0    +55.9   1.28 [fail]
ICP    DONCH55_20     6    +92.2   1.81    +0.0    +0.0   -28.3    +0.0    +90.4   1.78 [fail]
ICP    MA10_50       18     +4.2   1.01  +166.8  -162.6   -40.2    +0.0     -1.2   1.00 [fail]
ICP    MA20_100       8   +113.1   1.94  +207.0   -94.0   -37.7    +0.0   +110.7   1.90 [fail]
ICP    MA50_200       2    +54.8   2.07    +0.0    +0.0   -51.2    +0.0    +54.2   2.05 [fail]
ICP    TSMOM30       46   +108.9   1.43  +211.0  -102.1   -27.8    +0.0    +95.1   1.36 [fail]
ICP    TSMOM60       52    +61.1   1.22  +189.8  -128.8   -17.4    +0.0    +45.5   1.16 [fail]
ICP    TSMOM90       27    +53.6   1.35  +132.1   -78.6   -17.4    +0.0    +45.5   1.28 [fail]
INJ    DONCH20_10    18   +214.8   2.43  +185.9   +28.9   -28.1    +0.0   +209.4   2.37 [PASS]
INJ    DONCH40_20     9   +238.5   2.86  +284.1   -45.6   -35.5    +0.0   +235.8   2.81 [fail]
INJ    DONCH55_20     7   +282.4   4.73    +0.0    +0.0   -31.1    +0.0   +280.3   4.64 [fail]
INJ    MA10_50       17   +288.2   2.63  +342.1   -54.0   -36.0    +0.0   +283.1   2.58 [fail]
INJ    MA20_100       8   +292.9   5.29  +272.0   +20.9   -22.0    +0.0   +290.5   5.18 [PASS]
INJ    MA50_200       5     +0.6   1.01    +0.0    +0.0   -41.0    +0.0     -0.9   0.99 [fail]
INJ    TSMOM30       52   +398.9   2.80  +374.1   +24.8   -23.2    +0.0   +383.3   2.65 [PASS]
INJ    TSMOM60       34   +365.9   3.74  +344.5   +21.4   -16.5    +0.0   +355.7   3.54 [PASS]
INJ    TSMOM90       30   +305.3   2.97  +352.1   -46.8   -22.3    +0.0   +296.3   2.84 [fail]
LDO    DONCH20_10    18    +30.6   1.18   +86.5   -55.9   -39.0   -21.3    +25.2   1.14 [fail]
LDO    DONCH40_20     8    +82.6   2.95   +83.9    -1.3   -15.8    +0.0    +80.2   2.86 [fail]
LDO    DONCH55_20     7    +41.1   1.72    +0.0    +0.0   -30.3    +0.0    +39.0   1.68 [fail]
LDO    MA10_50       20    -60.8   0.74   -66.3    +5.5   -27.7   -40.9    -66.8   0.72 [fail]
LDO    MA20_100       7    +31.0   1.34    +0.0    +0.0   -33.9    +0.0    +28.9   1.31 [fail]
LDO    MA50_200       4   -147.9   0.00    +0.0    +0.0   -53.4    +0.0   -149.1   0.00 [fail]
LDO    TSMOM30       55    +41.1   1.16    +6.4   +34.7   -19.0   -21.6    +24.6   1.09 [fail]
LDO    TSMOM60       38    +89.8   1.49   +88.8    +1.0   -20.7    -2.6    +78.4   1.41 [1x-only]
LDO    TSMOM90       20    -15.5   0.89   +39.7   -55.2   -39.4    +0.0    -21.5   0.85 [fail]
LINK   DONCH20_10    27    +32.4   1.16   +79.2   -46.8   -30.0   -85.5    +24.3   1.12 [fail]
LINK   DONCH40_20    14    +24.7   1.16   -88.6  +113.3   -24.8  -102.8    +20.5   1.13 [fail]
LINK   DONCH55_20    13    -34.0   0.82  -116.3   +82.3   -36.9   -46.4    -37.9   0.80 [fail]
LINK   MA10_50       23    +90.0   1.51   +56.1   +33.9   -25.5  -118.1    +83.1   1.46 [PASS]
LINK   MA20_100      10    +67.1   1.81   +50.3   +16.7   -22.2   -46.7    +64.1   1.76 [PASS]
LINK   MA50_200       6    -54.9   0.61    +0.0    +0.0   -39.5    +0.0    -56.7   0.60 [fail]
LINK   TSMOM30       71   +141.9   1.52  +136.3    +5.5   -38.7  -163.1   +120.6   1.42 [1x-only]
LINK   TSMOM60       57    +71.7   1.30  -116.2  +187.9   -17.5   -40.9    +54.6   1.22 [fail]
LINK   TSMOM90       35    -55.2   0.76   -92.8   +37.6   -21.5   -90.3    -65.7   0.72 [fail]
LTC    DONCH20_10    22   -109.3   0.44   -62.3   -47.0   -23.4   -48.3   -115.9   0.42 [fail]
LTC    DONCH40_20    15    -87.3   0.45   -91.7    +4.4   -29.3    -6.7    -91.8   0.43 [fail]
LTC    DONCH55_20    14   -151.2   0.23  -120.4   -30.8   -29.3    -2.3   -155.4   0.23 [fail]
LTC    MA10_50       25    -27.2   0.83   -18.5    -8.7   -27.8   -25.9    -34.7   0.79 [fail]
LTC    MA20_100      11    -77.9   0.35   -90.6   +12.7   -27.0   -12.2    -81.2   0.34 [fail]
LTC    MA50_200       5   -131.3   0.00    +0.0    +0.0   -49.8    +8.1   -132.8   0.00 [fail]
LTC    TSMOM30       93    -85.7   0.77    +3.1   -88.7   -36.9   -51.2   -113.6   0.71 [fail]
LTC    TSMOM60       55    -58.0   0.76   -98.3   +40.3   -23.7   -43.0    -74.5   0.70 [fail]
LTC    TSMOM90       35    +14.3   1.09   -51.8   +66.1   -23.7   -27.4     +3.8   1.02 [fail]
MANA   DONCH20_10    18    -70.5   0.53   -54.9   -15.6   -18.1    +0.0    -75.9   0.51 [fail]
MANA   DONCH40_20     8     -7.8   0.92   +59.1   -66.9   -25.2    +0.0    -10.2   0.90 [fail]
MANA   DONCH55_20     5    +36.1   1.61    +0.0    +0.0   -25.2    +0.0    +34.6   1.58 [fail]
MANA   MA10_50       18    -76.0   0.53   -27.6   -48.4   -25.0    +0.0    -81.4   0.51 [fail]
MANA   MA20_100       9    -22.4   0.69   +40.2   -62.6   -23.3    +0.0    -25.1   0.67 [fail]
MANA   MA50_200       3    -72.6   0.00    +0.0    +0.0   -53.5    +0.0    -73.5   0.00 [fail]
MANA   TSMOM30       54     -9.3   0.96    +5.2   -14.5   -23.5    +0.0    -25.5   0.89 [fail]
MANA   TSMOM60       28    -17.0   0.89   -28.2   +11.2   -22.6    +0.0    -25.4   0.84 [fail]
MANA   TSMOM90       25    -34.7   0.69   -10.1   -24.7   -21.6    +0.0    -42.2   0.64 [fail]
NEAR   DONCH20_10    24   +373.2   2.90  +441.5   -68.3   -25.4    -6.5   +366.0   2.83 [fail]
NEAR   DONCH40_20    13   +297.1   3.29  +366.3   -69.2   -25.3   -51.0   +293.2   3.22 [fail]
NEAR   DONCH55_20    10   +222.0   2.99  +282.0   -60.1   -27.3   -64.0   +219.0   2.93 [fail]
NEAR   MA10_50       22   +347.3   3.56  +385.0   -37.7   -27.1   -16.1   +340.7   3.43 [fail]
NEAR   MA20_100      10   +272.0   3.07  +301.6   -29.6   -35.8   -95.3   +269.0   3.02 [fail]
NEAR   MA50_200       5    +47.5   1.31    +0.0    +0.0   -55.9    +0.0    +46.0   1.30 [fail]
NEAR   TSMOM30       59   +646.0   3.41  +713.4   -67.4   -36.8    -9.6   +628.3   3.24 [fail]
NEAR   TSMOM60       37   +422.9   2.94  +419.0    +3.9   -18.2   -47.0   +411.8   2.83 [1x-only]
NEAR   TSMOM90       28   +405.6   3.49  +411.6    -6.0   -39.9   -63.3   +397.2   3.36 [fail]
OP     DONCH20_10    16    +59.0   1.48  +122.1   -63.1   -32.1    +6.4    +54.2   1.43 [fail]
OP     DONCH40_20     9    -80.6   0.52   +22.8  -103.3   -32.1   +90.4    -83.3   0.51 [fail]
OP     DONCH55_20     8    +40.2   1.32  +112.8   -72.6   -27.2   -35.3    +37.8   1.30 [fail]
OP     MA10_50       15   +128.5   2.02  +183.1   -54.6   -28.4   -28.1   +124.0   1.96 [fail]
OP     MA20_100       7   +167.7   3.40    +0.0    +0.0   -36.0   -26.8   +165.6   3.33 [fail]
OP     MA50_200       4    -47.2   0.55    +0.0    +0.0   -57.9    -0.1    -48.4   0.54 [fail]
OP     TSMOM30       52   +135.1   1.68  +252.4  -117.3   -26.8   +60.7   +119.5   1.58 [fail]
OP     TSMOM60       35   +131.2   1.60  +213.8   -82.6   -23.9  -103.3   +120.7   1.53 [fail]
