# slow-trend daily battery 35 coins x 9 strats, cost 30bp rt (2x=60bp), gate omits y2022, fills=next open
coin   strat          n     net%     PF     H1%     H2%  worst%    y22%   2xnet%   2xPF verdict
SOL    TSMOM60       64   +629.3   3.78  +696.0   -66.7   -17.5   -43.1   +610.1   3.54 [fail]
SOL    TSMOM90       41   +611.2   4.24  +656.9   -45.8   -19.3   -19.7   +598.9   4.02 [fail]
SUI    DONCH20_10    14   +237.5   3.60  +250.7   -13.2   -18.2    +0.0   +233.3   3.49 [fail]
SUI    DONCH40_20     7   +375.5   6.20    +0.0    +0.0   -26.6    +0.0   +373.4   6.09 [fail]
SUI    DONCH55_20     5   +379.7   7.24    +0.0    +0.0   -30.5    +0.0   +378.2   7.13 [fail]
SUI    MA10_50       12   +460.7   4.72  +547.7   -87.0   -26.6    +0.0   +457.1   4.61 [fail]
SUI    MA20_100       5   +259.9   4.39    +0.0    +0.0   -47.5    +0.0   +258.4   4.33 [fail]
SUI    MA50_200       4    +44.5   1.73    +0.0    +0.0   -40.5    +0.0    +43.3   1.71 [fail]
SUI    TSMOM30       45   +408.2   3.54  +439.8   -31.6   -13.6    +0.0   +394.7   3.31 [fail]
SUI    TSMOM60       20   +410.5   4.37  +455.4   -44.9   -27.3    +0.0   +404.5   4.20 [fail]
SUI    TSMOM90       19   +207.4   2.54  +256.8   -49.3   -25.9    +0.0   +201.7   2.45 [fail]
SUSHI  DONCH20_10    16    +90.0   1.59   +34.9   +55.2   -20.7    +0.0    +85.2   1.55 [PASS]
SUSHI  DONCH40_20     7    +66.8   1.71    +0.0    +0.0   -25.6    +0.0    +64.7   1.67 [fail]
SUSHI  DONCH55_20     6    +25.6   1.35    +0.0    +0.0   -24.9    +0.0    +23.8   1.32 [fail]
SUSHI  MA10_50       15   +114.4   1.95   +33.7   +80.7   -24.8    +0.0   +109.9   1.89 [PASS]
SUSHI  MA20_100       6    -85.7   0.14    +0.0    +0.0   -32.3    +0.0    -87.5   0.13 [fail]
SUSHI  MA50_200       3    -79.3   0.02    +0.0    +0.0   -42.4    +0.0    -80.2   0.02 [fail]
SUSHI  TSMOM30       43   +150.2   1.94  +129.2   +21.0   -22.6    +0.0   +137.3   1.82 [PASS]
SUSHI  TSMOM60       22    +21.4   1.17   +11.4   +10.0   -22.4    +0.0    +14.8   1.11 [fail]
SUSHI  TSMOM90       29    -20.7   0.87   +22.8   -43.6   -23.4    +0.0    -29.4   0.82 [fail]
THETA  DONCH20_10    17    +38.4   1.23   +99.3   -60.9   -21.2    +0.0    +33.3   1.20 [fail]
THETA  DONCH40_20     8   +149.7   2.28  +168.9   -19.2   -25.4    +0.0   +147.3   2.24 [fail]
THETA  DONCH55_20     5   +192.0   4.09    +0.0    +0.0   -25.4    +0.0   +190.5   4.02 [fail]
THETA  MA10_50       17    +73.5   1.54   +71.1    +2.3   -25.4    +0.0    +68.4   1.49 [1x-only]
THETA  MA20_100       8     -3.2   0.97   +70.7   -73.9   -28.0    +0.0     -5.6   0.94 [fail]
THETA  MA50_200       3    -16.8   0.78    +0.0    +0.0   -59.0    +0.0    -17.7   0.77 [fail]
THETA  TSMOM30       43   +153.7   1.93  +169.3   -15.5   -20.6    +0.0   +140.8   1.81 [fail]
THETA  TSMOM60       33     -7.3   0.96   +46.2   -53.5   -30.3    +0.0    -17.2   0.92 [fail]
THETA  TSMOM90       21   +100.9   2.58  +146.2   -45.3   -14.8    +0.0    +94.6   2.40 [fail]
TIA    DONCH20_10    13   -123.7   0.37    -0.8  -123.0   -28.0    +0.0   -127.6   0.36 [fail]
TIA    DONCH40_20     4    -29.0   0.55    +0.0    +0.0   -31.8    +0.0    -30.2   0.54 [fail]
TIA    DONCH55_20     4    -59.7   0.07    +0.0    +0.0   -31.8    +0.0    -60.9   0.06 [fail]
TIA    MA10_50       14   -192.7   0.20   -66.8  -125.9   -30.9    +0.0   -196.9   0.19 [fail]
TIA    MA20_100       5    -59.8   0.03    +0.0    +0.0   -31.2    +0.0    -61.3   0.02 [fail]
TIA    MA50_200       1    -36.0   0.00    +0.0    +0.0   -36.0    +0.0    -36.3   0.00 [fail]
TIA    TSMOM30       44    -73.9   0.75   +62.4  -136.3   -29.8    +0.0    -87.1   0.72 [fail]
TIA    TSMOM60       25    -70.2   0.55   -24.5   -45.7   -26.8    +0.0    -77.7   0.51 [fail]
TIA    TSMOM90       20   -175.0   0.08   -97.0   -78.0   -25.8    +0.0   -181.0   0.07 [fail]
TRX    DONCH20_10    20   +261.6  16.38  +177.9   +83.7    -6.9   -19.6   +255.6  14.94 [PASS]
TRX    DONCH40_20    14   +195.9   7.35  +113.1   +82.8    -9.3   -42.2   +191.7   6.98 [PASS]
TRX    DONCH55_20    13   +107.5   2.98   +35.7   +71.8   -21.3   -47.2   +103.6   2.86 [PASS]
TRX    MA10_50       17   +247.5   9.15  +151.0   +96.5   -10.8   -38.7   +242.4   8.46 [PASS]
TRX    MA20_100       8   +149.2   3.86   +31.6  +117.7   -39.5   -11.3   +146.8   3.77 [PASS]
TRX    MA50_200       4   +141.1   4.73    +0.0    +0.0   -37.8   -29.1   +139.9   4.67 [fail]
TRX    TSMOM30       58   +349.0   4.59  +229.1  +119.8   -19.0   -66.2   +331.6   4.10 [PASS]
TRX    TSMOM60       45   +193.7   3.26  +101.4   +92.3   -19.2   -54.0   +180.2   2.92 [PASS]
TRX    TSMOM90       38   +141.3   2.98   +31.9  +109.4   -37.7   -41.9   +129.9   2.67 [PASS]
UNI    DONCH20_10    19   +166.8   2.21  +209.9   -43.1   -31.6    +0.1   +161.1   2.14 [fail]
UNI    DONCH40_20    11   +117.0   2.32  +145.2   -28.2   -40.4   -18.5   +113.7   2.26 [fail]
UNI    DONCH55_20     9    +97.5   2.68   -24.3  +121.8   -29.2   -18.5    +94.8   2.59 [fail]
UNI    MA10_50       18   +192.6   3.17   +48.3  +144.3   -18.1   +19.2   +187.2   3.04 [PASS]
UNI    MA20_100      12     -1.9   0.98    -9.6    +7.7   -22.4   -10.3     -5.5   0.93 [fail]
UNI    MA50_200       7    -90.6   0.47    +0.0    +0.0   -36.0   -37.0    -92.7   0.46 [fail]
UNI    TSMOM30       57   +167.6   1.70  +125.5   +42.1   -34.3   -65.9   +150.5   1.60 [PASS]
UNI    TSMOM60       36     -2.4   0.98   -64.6   +62.2   -23.0   -25.6    -13.2   0.91 [fail]
UNI    TSMOM90       40   -114.5   0.36   -94.7   -19.8   -23.7   -49.2   -126.5   0.33 [fail]
VET    DONCH20_10    17    +40.0   1.28   +26.6   +13.5   -33.0    +0.0    +34.9   1.23 [fail]
VET    DONCH40_20     8    +12.8   1.16   +11.0    +1.8   -22.6    +0.0    +10.4   1.13 [fail]
VET    DONCH55_20     5    +22.8   1.46    +0.0    +0.0   -22.6    +0.0    +21.3   1.42 [fail]
VET    MA10_50       18    -34.9   0.78   -50.2   +15.3   -29.7    +0.0    -40.3   0.75 [fail]
VET    MA20_100       8    +27.5   1.42   +77.9   -50.4   -19.4    +0.0    +25.1   1.38 [fail]
VET    MA50_200       2     -3.8   0.92    +0.0    +0.0   -46.7    +0.0     -4.4   0.91 [fail]
VET    TSMOM30       46    +30.8   1.16   +17.6   +13.2   -19.4    +0.0    +17.0   1.08 [fail]
VET    TSMOM60       32   +119.9   2.06   +75.3   +44.6   -21.5    +0.0   +110.3   1.92 [PASS]
VET    TSMOM90       21    +87.2   2.73  +108.4   -21.2   -11.3    +0.0    +80.9   2.49 [fail]
XRP    DONCH20_10    22   +393.5   3.42  +112.2  +281.3   -25.2   -17.0   +386.9   3.32 [PASS]
XRP    DONCH40_20    14   +188.9   2.73   +26.4  +162.5   -22.1   -30.0   +184.7   2.65 [PASS]
XRP    DONCH55_20    11   +120.2   2.29   -27.9  +148.1   -19.1    -2.2   +116.9   2.23 [fail]
XRP    MA10_50       24   +248.9   2.54   +51.6  +197.4   -28.0    +3.4   +241.7   2.45 [PASS]
XRP    MA20_100      12    +68.5   1.44   -92.3  +160.8   -37.5   -44.4    +64.9   1.41 [fail]
XRP    MA50_200       6   +196.5   2.72    +0.0    +0.0   -35.9   -22.6   +194.7   2.69 [fail]
XRP    TSMOM30       78   +270.0   1.88   +86.3  +183.7   -33.8   -15.6   +246.6   1.76 [PASS]
XRP    TSMOM60       60   +376.3   3.24   +64.3  +312.0   -26.0   -83.4   +358.3   2.98 [PASS]
XRP    TSMOM90       43   +148.4   1.66   -62.3  +210.7   -37.6   -80.5   +135.5   1.58 [fail]
# ALL-GATE PASS (incl 2x): 62/315 cells
# per-coin best PASS:
  AAVE   DONCH20_10  net=+107.3% PF=1.55 n=23 H1=+69.2% H2=+38.1% y22=-15.5%
  ADA    DONCH20_10  net=+334.3% PF=2.49 n=24 H1=+321.0% H2=+13.3% y22=-48.7%
  APT    --none--
  ATOM   --none--
  AVAX   MA20_100    net=+254.5% PF=3.49 n=9 H1=+83.5% H2=+170.9% y22=-61.9%
  BCH    DONCH40_20  net=+129.5% PF=2.72 n=11 H1=+38.9% H2=+90.6% y22=-41.9%
  BNB    TSMOM30     net=+774.6% PF=5.15 n=82 H1=+759.5% H2=+15.1% y22=-30.3%
  BTC    TSMOM30     net=+203.3% PF=2.28 n=73 H1=+187.0% H2=+16.3% y22=-48.5%
  COMP   --none--
  CRV    --none--
  DOGE   TSMOM30     net=+660.4% PF=3.60 n=64 H1=+527.9% H2=+132.5% y22=+7.0%
  DOT    --none--
  ETC    MA10_50     net=+36.8% PF=1.64 n=14 H1=+14.3% H2=+22.5% y22=+0.0%
  ETH    TSMOM30     net=+255.7% PF=2.60 n=64 H1=+137.9% H2=+117.9% y22=-26.2%
  FIL    --none--
  GRT    TSMOM60     net=+105.9% PF=1.49 n=41 H1=+68.3% H2=+37.7% y22=-69.2%
  ICP    --none--
  INJ    TSMOM30     net=+398.9% PF=2.80 n=52 H1=+374.1% H2=+24.8% y22=+0.0%
  LDO    --none--
  LINK   MA10_50     net=+90.0% PF=1.51 n=23 H1=+56.1% H2=+33.9% y22=-118.1%
  LTC    --none--
  MANA   --none--
  NEAR   --none--
  OP     --none--
  RUNE   --none--
  SAND   --none--
  SOL    MA10_50     net=+1030.8% PF=11.03 n=19 H1=+1027.8% H2=+3.0% y22=-82.6%
  SUI    --none--
  SUSHI  TSMOM30     net=+150.2% PF=1.94 n=43 H1=+129.2% H2=+21.0% y22=+0.0%
  THETA  --none--
  TIA    --none--
  TRX    TSMOM30     net=+349.0% PF=4.59 n=58 H1=+229.1% H2=+119.8% y22=-66.2%
  UNI    MA10_50     net=+192.6% PF=3.17 n=18 H1=+48.3% H2=+144.3% y22=+19.2%
  VET    TSMOM60     net=+119.9% PF=2.06 n=32 H1=+75.3% H2=+44.6% y22=+0.0%
  XRP    DONCH20_10  net=+393.5% PF=3.42 n=22 H1=+112.2% H2=+281.3% y22=-17.0%
