ts,book,reason,engine,symbol,side,entry,realized_pnl,mfe_peak_pct,bars_held
1782858060,CRYPTO,ENGINE_EXIT,Trend (EMAx),ETH Spot-Quoted (QEF),SHORT,1613.07,8.11,2.66,0
1782858060,CRYPTO,ENGINE_EXIT,Trend (EMAx),BTC Spot-Quoted (QTF),SHORT,60260.21,15.43,2.9,0
1782858060,CRYPTO,ENGINE_EXIT,Trend (EMAx),"SOL (fut, SQF pending)",SHORT,75.16,7.7,2.55,0
1782858060,CRYPTO,ENGINE_EXIT,Momentum (Roc20),BTC Spot-Quoted (QTF),SHORT,60260.21,15.43,2.9,0
1782884880,CRYPTO,ENGINE_EXIT,Trend (EMAx),ETH Spot-Quoted (QEF),SHORT,1613.07,3.99,3.0,2
1782884880,CRYPTO,ENGINE_EXIT,Trend (EMAx),BTC Spot-Quoted (QTF),SHORT,60260.21,10.7,3.43,2
1782884880,CRYPTO,ENGINE_EXIT,Trend (EMAx),"SOL (fut, SQF pending)",SHORT,75.16,-1.05,2.95,2
1782884880,CRYPTO,ENGINE_EXIT,Momentum (Roc20),BTC Spot-Quoted (QTF),SHORT,60260.21,10.7,3.42,2
1782989761,CRYPTO,REVERSAL_CLIP,Trend (EMAx),BTC Spot-Quoted (QTF),SHORT,60260.21,-21.08,3.15,7
1782989761,CRYPTO,REVERSAL_CLIP,Momentum (Roc20),BTC Spot-Quoted (QTF),SHORT,60260.21,-21.08,3.15,7
1783115761,CRYPTO,ENGINE_EXIT,Trend (EMAx),ETH Spot-Quoted (QEF),SHORT,1613.07,-52.5,2.84,16
1783115761,CRYPTO,ENGINE_EXIT,Trend (EMAx),"SOL (fut, SQF pending)",SHORT,75.16,-83.55,1.98,16
1783127101,CRYPTO,LOSS_CUT_CLIP,Trend (Keltner),"SOL (fut, SQF pending)",LONG,82.34,-19.2,0.46,0
1783127760,CRYPTO,LOSS_CUT_CLIP,Trend (EMAx),BTC Spot-Quoted (QTF),LONG,335720.98,-2732.09,0.0,0
1783127760,CRYPTO,LOSS_CUT_CLIP,Momentum (Roc20),BTC Spot-Quoted (QTF),LONG,335720.98,-2732.09,0.0,0
1783128961,CRYPTO,ENGINE_EXIT,Trend (EMAx),BTC Spot-Quoted (QTF),LONG,335720.98,0.0,0.0,0
1783128961,CRYPTO,ENGINE_EXIT,Momentum (Roc20),BTC Spot-Quoted (QTF),LONG,335720.98,0.0,0.0,0
1783198501,CRYPTO,LOSS_CUT_CLIP,Trend (Keltner),"SOL (fut, SQF pending)",LONG,82.34,-20.4,1.92,5
