ts,equity
1597276800000,0.011475
1597363200000,0.014370
1597622400000,0.020770
1597708800000,0.021461
1597795200000,0.011737
1597881600000,0.023575
1597968000000,0.016280
1598227200000,0.027464
1598313600000,0.020679
1598400000000,0.032962
1598486400000,0.030509
1598572800000,0.039807
1598832000000,0.042285
1598918400000,0.063452
1599004800000,0.055711
1599091200000,-0.002603
1599177600000,-0.005689
1599523200000,-0.037778
1599609600000,0.011094
1599696000000,0.003457
1599782400000,0.003811
1600041600000,0.019349
1600128000000,0.022724
1600214400000,0.009138
1600300800000,0.007858
1600387200000,-0.005561
1600646400000,-0.005328
1600732800000,0.003137
1600819200000,-0.012400
1600905600000,-0.013801
1600992000000,-0.001408
1601251200000,0.014201
1601337600000,0.010134
1601424000000,0.015906
1601510400000,0.023121
1601596800000,0.011703
1601856000000,0.024380
1601942400000,0.034581
1602028800000,0.052504
1602115200000,0.055059
1602201600000,0.061345
1602460800000,0.075382
1602547200000,0.073216
1602633600000,0.068026
1602720000000,0.065763
1602806400000,0.064139
1603065600000,0.053280
1603152000000,0.048617
1603238400000,0.051718
1603324800000,0.053072
1603411200000,0.055153
1603670400000,0.040369
1603756800000,0.047375
1603843200000,0.016034
1603929600000,0.011845
1604016000000,0.014619
1604275200000,0.009327
1604361600000,-0.004280
1604448000000,-0.024173
1604534400000,-0.024806
1604620800000,-0.017746
1604880000000,-0.021397
1604966400000,-0.022370
1605052800000,-0.020044
1605139200000,-0.021542
1605225600000,-0.023584
1605484800000,-0.012839
1605571200000,-0.005087
1605657600000,-0.011292
1605744000000,-0.009200
1605830400000,-0.000817
1606089600000,0.009034
1606176000000,0.023775
1606262400000,0.015112
1606435200000,0.017656
1606694400000,0.033689
1606780800000,0.029492
1606867200000,0.035204
1606953600000,0.039747
1607040000000,0.017999
1607299200000,0.015024
1607385600000,0.004391
1607472000000,0.000305
1607558400000,0.001439
1607644800000,-0.004308
1607904000000,-0.004615
1607990400000,0.004491
1608076800000,0.028600
1608163200000,0.050924
1608249600000,0.053245
1608508800000,0.039529
1608595200000,0.051877
1608681600000,0.037872
1608768000000,0.048383
1609113600000,0.067603
1609200000000,0.060484
1609286400000,0.074929
1609372800000,0.074483
1609718400000,0.067650
1609804800000,0.105166
1609891200000,0.142799
1609977600000,0.190463
1610064000000,0.202836
1610323200000,0.147520
1610409600000,0.131132
1610496000000,0.171265
1610582400000,0.198200
1610668800000,0.164865
1611014400000,0.184437
1611100800000,0.196060
1611187200000,0.129784
1611273600000,0.169393
1611532800000,0.160332
1611619200000,0.169313
1611705600000,0.119355
1611792000000,0.162305
1611878400000,0.163566
1612137600000,0.189823
1612224000000,0.224564
1612310400000,0.265005
1612396800000,0.245294
1612483200000,0.273843
1612742400000,0.357522
1612828800000,0.360882
1612915200000,0.343205
1613001600000,0.374802
1613088000000,0.382133
1613433600000,0.390429
1613520000000,0.421987
1613606400000,0.429659
1613692800000,0.462036
1613952000000,0.400713
1614038400000,0.325154
1614124800000,0.345208
1614211200000,0.282153
1614297600000,0.268347
1614556800000,0.343366
1614643200000,0.312885
1614729600000,0.327414
1614816000000,0.306380
1614902400000,0.310281
1615161600000,0.345442
1615248000000,0.363800
1615334400000,0.355487
1615420800000,0.392007
1615507200000,0.381875
1615766400000,0.351503
1615852800000,0.363239
1615939200000,0.383080
1616025600000,0.351328
1616112000000,0.357741
1616371200000,0.316347
1616457600000,0.311257
1616544000000,0.279735
1616630400000,0.269882
1616716800000,0.297354
1616976000000,0.314953
1617062400000,0.320311
1617148800000,0.329265
1617235200000,0.339614
1617580800000,0.358358
1617667200000,0.360258
1617753600000,0.334683
1617840000000,0.357881
1617926400000,0.362772
1618185600000,0.360558
1618272000000,0.396925
1618358400000,0.391097
1618444800000,0.403829
1618531200000,0.389432
1618790400000,0.380416
1618876800000,0.385975
1618963200000,0.373748
1619049600000,0.352082
1619136000000,0.354989
1619395200000,0.399666
1619481600000,0.408359
1619568000000,0.407855
1619654400000,0.412861
1619740800000,0.405476
1620000000000,0.419518
1620086400000,0.407885
1620172800000,0.417523
1620259200000,0.421388
1620345600000,0.425735
1620604800000,0.413778
1620691200000,0.415857
1620777600000,0.387366
1620864000000,0.392737
1620950400000,0.410621
1621209600000,0.399489
1621296000000,0.396034
1621382400000,0.369622
1621468800000,0.388951
1621555200000,0.377597
1621814400000,0.402474
1621900800000,0.405727
1621987200000,0.412473
1622073600000,0.407675
1622160000000,0.399927
1622505600000,0.399133
1622592000000,0.401860
1622678400000,0.399995
1622764800000,0.406116
1623024000000,0.403780
1623110400000,0.404742
1623196800000,0.404978
1623283200000,0.406802
1623369600000,0.404646
1623628800000,0.408622
1623715200000,0.404782
1623801600000,0.400454
1623888000000,0.404545
1623974400000,0.398249
1624233600000,0.438324
1624320000000,0.444572
1624406400000,0.442107
1624492800000,0.446250
1624579200000,0.450958
1624838400000,0.451987
1624924800000,0.451272
1625011200000,0.450159
1625097600000,0.461117
1625184000000,0.467941
1625529600000,0.466345
1625616000000,0.468633
1625702400000,0.465227
1625788800000,0.472712
1626048000000,0.477531
1626134400000,0.476960
1626220800000,0.488005
1626307200000,0.496823
1626393600000,0.490706
1626652800000,0.480974
1626739200000,0.493429
1626825600000,0.496189
1626912000000,0.499017
1626998400000,0.506151
1627257600000,0.506113
1627344000000,0.500151
1627430400000,0.501848
1627516800000,0.503349
1627603200000,0.495242
1627862400000,0.494356
1627948800000,0.500717
1628035200000,0.492570
1628121600000,0.498585
1628208000000,0.500102
1628467200000,0.504790
1628553600000,0.502109
1628640000000,0.502131
1628726400000,0.502483
1628812800000,0.512163
1629072000000,0.492641
1629158400000,0.481752
1629244800000,0.472597
1629331200000,0.479749
1629417600000,0.491515
1629676800000,0.502662
1629763200000,0.500059
1629849600000,0.503326
1629936000000,0.489673
1630022400000,0.502805
1630281600000,0.507693
1630368000000,0.509988
1630454400000,0.519396
1630540800000,0.520004
1630627200000,0.524284
1630972800000,0.504206
1631059200000,0.502324
1631145600000,0.498652
1631232000000,0.486176
1631491200000,0.483827
1631577600000,0.483979
1631664000000,0.495133
1631750400000,0.493305
1631836800000,0.480445
1632096000000,0.441992
1632182400000,0.435072
1632268800000,0.442816
1632355200000,0.450693
1632441600000,0.445526
