symbol,funding_time_ms,funding_rate,mark
SOL,1600012800004,0.00010000,
SOL,1600041600003,0.00010000,
SOL,1600070400008,0.00010000,
SOL,1600099200000,0.00010000,
SOL,1600128000000,0.00010000,
SOL,1600156800010,0.00010000,
SOL,1600185600003,0.00010000,
SOL,1600214400014,0.00010000,
SOL,1600243200000,0.00010000,
SOL,1600272000001,0.00010000,
SOL,1600300800006,0.00010000,
SOL,1600329600012,0.00010000,
SOL,1600358400000,0.00010000,
SOL,1600387200001,0.00010000,
SOL,1600416000002,0.00010000,
SOL,1600444800002,0.00010000,
SOL,1600473600000,-0.00001360,
SOL,1600502400005,0.00010000,
SOL,1600531200008,0.00010000,
SOL,1600560000002,0.00010000,
SOL,1600588800005,-0.00020633,
SOL,1600617600005,-0.00042585,
SOL,1600646400000,0.00010000,
SOL,1600675200001,0.00010000,
SOL,1600704000000,0.00010000,
SOL,1600732800001,-0.00004279,
SOL,1600761600000,0.00010000,
SOL,1600790400004,0.00010000,
SOL,1600819200007,0.00010000,
SOL,1600848000001,0.00010000,
SOL,1600876800001,0.00010000,
SOL,1600905600000,-0.00008917,
SOL,1600934400000,0.00010000,
SOL,1600963200000,0.00010000,
SOL,1600992000009,0.00010000,
SOL,1601020800045,0.00010000,
SOL,1601049600000,-0.00039395,
SOL,1601078400000,-0.00044892,
SOL,1601107200000,0.00010000,
SOL,1601136000005,0.00010000,
SOL,1601164800000,0.00010000,
SOL,1601193600000,0.00010000,
SOL,1601222400019,0.00010000,
SOL,1601251200001,0.00010000,
SOL,1601280000000,0.00010000,
SOL,1601308800002,0.00010000,
SOL,1601337600000,0.00010000,
SOL,1601366400000,0.00010000,
SOL,1601395200000,0.00010000,
SOL,1601424000005,0.00010000,
SOL,1601452800000,0.00010000,
SOL,1601481600000,0.00010000,
SOL,1601510400000,0.00010000,
SOL,1601539200000,0.00010000,
SOL,1601568000000,0.00010000,
SOL,1601596800011,0.00010000,
SOL,1601625600000,0.00010000,
SOL,1601654400005,0.00010000,
SOL,1601683200000,0.00010000,
SOL,1601712000001,0.00010000,
SOL,1601740800000,0.00010000,
SOL,1601769600000,0.00010000,
SOL,1601798400003,0.00010000,
SOL,1601827200001,0.00010000,
SOL,1601856000000,0.00010000,
SOL,1601884800000,0.00010000,
SOL,1601913600012,0.00010000,
SOL,1601942400000,0.00010000,
SOL,1601971200005,0.00010000,
SOL,1602000000000,0.00010000,
SOL,1602028800000,0.00010000,
SOL,1602057600000,0.00010000,
SOL,1602086400000,0.00010000,
SOL,1602115200000,0.00010000,
SOL,1602144000009,0.00010000,
SOL,1602172800003,0.00010000,
SOL,1602201600001,0.00010000,
SOL,1602230400000,0.00010000,
SOL,1602259200004,0.00010000,
SOL,1602288000005,0.00010000,
SOL,1602316800000,0.00028914,
SOL,1602345600011,0.00019105,
SOL,1602374400002,0.00070989,
SOL,1602403200003,0.00010000,
SOL,1602432000004,0.00010000,
SOL,1602460800001,0.00010000,
SOL,1602489600000,0.00022458,
SOL,1602518400011,0.00010000,
SOL,1602547200003,0.00010000,
SOL,1602576000000,0.00010000,
SOL,1602604800001,0.00017596,
SOL,1602633600001,0.00010000,
SOL,1602662400000,0.00010000,
SOL,1602691200001,0.00028415,
SOL,1602720000000,0.00010000,
SOL,1602748800000,0.00010000,
SOL,1602777600000,0.00010000,
SOL,1602806400002,0.00010000,
SOL,1602835200003,0.00010000,
SOL,1602864000000,0.00010000,
SOL,1602892800006,0.00010000,
SOL,1602921600007,0.00010000,
SOL,1602950400009,0.00010000,
SOL,1602979200006,0.00010000,
SOL,1603008000000,0.00010000,
SOL,1603036800000,0.00010000,
SOL,1603065600000,0.00010000,
SOL,1603094400000,0.00010000,
SOL,1603123200000,0.00010000,
SOL,1603152000015,0.00010000,
SOL,1603180800000,0.00010000,
SOL,1603209600008,0.00010000,
SOL,1603238400009,0.00010000,
SOL,1603267200004,0.00010000,
SOL,1603296000000,0.00010000,
SOL,1603324800000,0.00035786,
SOL,1603353600000,0.00010000,
SOL,1603382400004,0.00010000,
SOL,1603411200007,0.00010000,
SOL,1603440000000,0.00019126,
SOL,1603468800000,0.00035682,
SOL,1603497600000,0.00055860,
SOL,1603526400000,0.00010000,
SOL,1603555200008,0.00089030,
SOL,1603584000005,0.00059139,
SOL,1603612800014,0.00027335,
SOL,1603641600000,0.00019860,
SOL,1603670400004,0.00010000,
SOL,1603699200000,0.00010000,
SOL,1603728000000,0.00010000,
SOL,1603756800000,0.00010000,
SOL,1603785600000,0.00010000,
SOL,1603814400000,0.00010000,
SOL,1603843200000,0.00010000,
SOL,1603872000006,0.00010000,
SOL,1603900800001,0.00010000,
SOL,1603929600000,0.00010000,
SOL,1603958400000,0.00010000,
SOL,1603987200000,0.00010000,
SOL,1604016000000,0.00010000,
SOL,1604044800002,0.00010000,
SOL,1604073600002,-0.00000273,
SOL,1604102400003,-0.00062124,
SOL,1604131200000,0.00004476,
SOL,1604160000000,-0.00035502,
SOL,1604188800000,-0.00149790,
SOL,1604217600000,0.00010000,
