open_time_ms,open,high,low,close
1762106400000,23990.211,24017.911,23988.6835,24011.3165
1762110000000,24011.6,24037.5165,24010.3835,24028.489
1762113600000,24027.9445,24039.489,24017.95,24020.5055
1762117200000,24021.0,24040.5055,24014.5055,24022.4445
1762120800000,24021.9835,24026.4945,23990.0,24025.989
1762124400000,24025.511,24025.511,24010.5,24014.5055
1762128000000,24014.0,24034.0055,24011.9835,24019.55
1762131600000,24019.9945,24027.011,23993.9335,24014.5
1762135200000,24011.522,24014.061,23971.489,23977.511
1762138800000,23978.9835,24150.0055,23963.4945,24126.5
1762142400000,24125.4945,24183.0,24116.4945,24161.572
1762146000000,24162.439,24220.0055,24144.0,24217.5055
1762149600000,24216.9835,24251.55,24208.5,24218.4945
1762153200000,24217.55,24243.5,24183.0,24187.011
1762156800000,24185.95,24185.95,24114.4445,24129.0
1762160400000,24130.9945,24188.522,24118.0,24135.0055
1762164000000,24137.0,24168.0055,24109.45,24116.0
1762167600000,24116.5,24137.0165,24103.9945,24128.0
1762171200000,24128.5,24160.9835,24118.939,24156.9945
1762174800000,24157.5665,24176.561,24152.9835,24165.4835
1762178400000,24167.9945,24172.4945,24151.0165,24154.522
1762182000000,24157.0,24160.0,24128.0,24128.011
1762185600000,24127.5,24148.089,24125.1055,24132.2945
1762192800000,24126.622,24130.211,24108.678,24111.978
1762196400000,24111.761,24111.761,24033.9835,24082.489
1762200000000,24083.989,24084.989,24055.978,24061.0
1762203600000,24060.439,24062.5055,24032.511,24037.9835
1762207200000,24038.5055,24062.0055,24035.9835,24043.9945
1762210800000,24045.011,24050.011,24018.5055,24029.5
1762214400000,24029.9445,24036.0055,23939.9335,23953.5055
1762218000000,23956.9835,23956.9835,23869.9945,23904.55
1762221600000,23903.4945,23904.011,23801.9335,23832.5165
1762225200000,23831.928,23835.5,23711.061,23783.9335
1762228800000,23786.0,23811.9945,23674.0,23680.5
1762232400000,23680.9835,23792.061,23671.5,23784.061
1762236000000,23783.4835,23826.061,23776.4445,23804.989
1762239600000,23805.989,23838.572,23766.4945,23831.011
1762243200000,23829.9945,23875.011,23821.0165,23862.0
1762246800000,23860.978,23938.011,23830.95,23936.5
1762250400000,23938.0165,23976.5,23909.4945,23937.5
1762254000000,23937.011,23961.011,23908.4945,23953.9945
1762257600000,23953.5165,23954.5,23901.928,23919.0055
1762261200000,23918.0,23924.5,23886.5055,23913.5055
1762264800000,23913.0165,23918.0,23874.0055,23883.572
1762268400000,23884.45,23899.05,23867.9835,23885.9945
1762272000000,23885.4445,23892.722,23878.3055,23885.572
1762279200000,23889.9835,23893.828,23862.428,23863.1665
1762282800000,23861.9165,23862.5555,23732.0,23732.011
1762286400000,23732.511,23736.0165,23580.9945,23664.022
1762290000000,23665.5,23730.511,23656.5665,23730.0555
1762293600000,23733.489,23833.0,23730.9945,23801.4445
1762297200000,23800.572,23806.5165,23774.0055,23798.55
1762300800000,23799.0055,23831.0055,23787.5055,23801.072
1762304400000,23800.4945,23867.478,23773.45,23843.489
1762308000000,23842.511,23849.511,23784.0055,23795.5165
1762311600000,23801.022,23871.0165,23745.9945,23818.989
1762315200000,23819.9945,23831.5055,23751.9945,23797.5
1762318800000,23796.4445,23807.0165,23752.0555,23760.989
1762322400000,23760.55,23837.4945,23729.011,23829.4835
1762326000000,23831.978,23893.489,23826.489,23884.9945
1762329600000,23884.0055,23919.022,23860.011,23903.989
1762333200000,23904.5055,23992.0055,23875.511,23988.0
1762336800000,23996.5165,24107.011,23976.939,24058.0
1762340400000,24058.4945,24087.489,23999.0555,24075.9945
1762344000000,24075.5055,24122.0055,24072.9835,24109.5
1762347600000,24110.0,24122.072,24102.4445,24110.0
