=== FIDELITY: X(gates off) vs LIVE header ===
  BTC   n=3876/3876 real=-74563.42/-74563.42 OK
  ETH   n=5115/5115 real=-96789.28/-96789.28 OK
  SOL   n=6874/6874 real=-135158.13/-135158.13 OK
  BNB   n=4845/4845 real=-87025.92/-87025.92 OK
  ADA   n=6077/6077 real=-117792.32/-117792.32 OK
  TRX   n=3594/3594 real=-51738.23/-51738.23 OK
  DOGE  n=6279/6279 real=-122029.78/-122029.78 OK
  NEAR  n=7110/7110 real=-206898.94/-206898.94 OK
  AAVE  n=6969/6969 real=-139327.75/-139327.75 OK
  OP    n=5183/5183 real=-101183.48/-101183.48 OK

=== ADA incident replication (live ledger: ENGINE_EXIT real=-122.12 x2 @1783378800000) ===

=== SWEEP — REAL column (net = worse-of fill - 20bp RT); model shown for reference ===
variant         coin       n   netREAL    model     PF       H1       H2     bull     bear    worst    neg  all6
s:trail300      SOL     6194 -115075.1 389352.1   0.76 -54470.0 -60605.2 -41579.3 -73495.9  -1272.1   5064  fail
s:trail300      BNB     4274  -73257.8 210961.4   0.73 -28124.4 -45133.5 -33652.2 -39605.6   -728.3   3604  fail
s:trail300      ADA     5510 -105457.0 308605.7   0.73 -61911.9 -43545.1 -15251.3 -90205.7   -528.8   4674  fail
s:trail300      TRX     3126  -38010.4 173686.2   0.81 -31046.2  -6964.2 -17565.2 -20445.2   -586.4   2614  fail
s:trail300      DOGE    5768 -120430.1 387221.6   0.74 -41335.9 -79094.2 -72046.7 -48383.4  -1055.1   4882  fail
s:trail300      NEAR    6494 -188227.7 411227.1   0.67 -117274.8 -70952.8 -43533.5 -144694.1  -1164.1   5290  fail
s:trail300      AAVE    6332 -130533.8 389060.0   0.74 -63339.2 -67194.6 -51231.1 -79302.7  -1172.8   5184  fail
s:trail300      OP      4738 -101359.3 289698.7   0.73 -56785.8 -44573.6 -20659.1 -80700.2   -805.2   3886  fail
s:trail300      ALL    50258 -1009664.4 2916741.5   0.73 -515316.9 -494347.5 -329951.5 -679712.9  -1272.1  41854  fail   <-- ROSTER

s:trail500      BTC     3310  -58292.6 132752.6   0.68 -38122.3 -20170.3 -11927.4 -46365.2   -437.5   2856  fail
s:trail500      ETH     4490  -78201.0 224023.9   0.73 -46008.9 -32192.2 -21683.0 -56518.0   -750.7   3784  fail
s:trail500      SOL     6190 -113854.6 388131.9   0.76 -53620.2 -60234.4 -41010.3 -72844.3  -1272.1   5062  fail
s:trail500      BNB     4274  -73737.8 209405.8   0.73 -28571.5 -45166.3 -33652.2 -40085.6   -728.3   3604  fail
s:trail500      ADA     5508 -105732.4 306293.2   0.73 -61345.0 -44387.5 -16168.9 -89563.6   -528.8   4674  fail
s:trail500      TRX     3118  -38217.2 170392.9   0.80 -29793.1  -8424.1 -18478.7 -19738.5   -586.4   2610  fail
s:trail500      DOGE    5766 -124766.2 375730.0   0.73 -45201.3 -79565.0 -74137.3 -50628.9  -1055.1   4890  fail
s:trail500      NEAR    6488 -186975.7 408749.2   0.67 -114326.2 -72649.5 -41807.8 -145167.9  -1164.1   5286  fail
s:trail500      AAVE    6328 -130300.4 385841.0   0.74 -63233.1 -67067.4 -51153.5 -79147.0  -1172.8   5182  fail
s:trail500      OP      4736 -101961.6 287613.3   0.73 -57754.0 -44207.6 -20563.3 -81398.3   -805.2   3886  fail
s:trail500      ALL    50208 -1012039.6 2888933.7   0.73 -517896.4 -494143.3 -330582.4 -681457.2  -1272.1  41834  fail   <-- ROSTER

s:be100_t150    BTC     1938  -30345.9  87529.8   0.72 -16771.7 -13574.2  -6431.1 -23914.8   -480.3   1634  fail
s:be100_t150    ETH     2724  -40718.4 149205.5   0.77 -32952.2  -7766.2  -7297.6 -33420.9   -989.1   2204  fail
s:be100_t150    SOL     4234  -92911.3 296496.8   0.74 -26878.7 -66032.6 -36998.1 -55913.2  -1272.1   3466  fail
s:be100_t150    BNB     2648  -50160.4 141457.2   0.71 -23917.4 -26243.0 -25470.4 -24689.9   -728.3   2188  fail
s:be100_t150    ADA     3460  -49372.2 244982.4   0.82 -37923.1 -11449.1   -681.6 -48690.6   -705.3   2862  fail
s:be100_t150    TRX     1952  -28992.7 131541.0   0.79 -22774.4  -6218.3 -13037.9 -15954.8   -586.4   1566  fail
s:be100_t150    DOGE    3662  -57685.9 317284.3   0.82 -12644.8 -45041.1 -55455.5  -2230.4  -1055.1   3024  fail
s:be100_t150    NEAR    4636 -149816.0 318450.8   0.65 -90690.2 -59125.8 -33297.0 -116519.0  -1164.1   3730  fail
s:be100_t150    AAVE    4130  -56349.6 310532.7   0.83 -25853.0 -30496.5 -26365.9 -29983.6  -1207.1   3246  fail
s:be100_t150    OP      3136  -63638.1 214517.7   0.75 -38948.0 -24690.1 -17812.7 -45825.4   -805.2   2534  fail
s:be100_t150    ALL    32520 -619990.5 2211998.4   0.76 -309574.0 -310416.5 -222847.8 -397142.7  -1272.1  26454  fail   <-- ROSTER

s:be100_t300    BTC     1886  -30108.9  82671.8   0.72 -17081.5 -13027.4  -6315.5 -23793.4   -480.3   1596  fail
s:be100_t300    ETH     2682  -40574.5 144345.7   0.77 -33034.6  -7539.8  -4975.8 -35598.7   -989.1   2198  fail
s:be100_t300    SOL     4170  -90636.3 280407.6   0.74 -24680.1 -65956.2 -36588.4 -54047.9  -1272.1   3426  fail
s:be100_t300    BNB     2602  -47861.7 135676.9   0.72 -19409.9 -28451.8 -25296.1 -22565.7   -728.3   2174  fail
s:be100_t300    ADA     3426  -50905.0 231363.7   0.81 -37682.3 -13222.7  -1748.4 -49156.6   -705.3   2854  fail
s:be100_t300    TRX     1932  -32187.3 121286.1   0.77 -24309.8  -7877.5 -15121.7 -17065.7   -586.4   1578  fail
s:be100_t300    DOGE    3620  -63699.0 293337.2   0.80 -17718.2 -45980.8 -56582.2  -7116.8  -1055.1   3018  fail
s:be100_t300    NEAR    4542 -142967.9 303651.8   0.67 -85751.3 -57216.6 -28842.6 -114125.4  -1164.1   3700  fail
s:be100_t300    AAVE    4074  -56805.1 291279.2   0.83 -25382.3 -31422.8 -26411.9 -30393.2  -1207.1   3266  fail
s:be100_t300    OP      3122  -69856.2 199731.5   0.73 -43376.4 -26479.8 -18034.5 -51821.7   -805.2   2550  fail
s:be100_t300    ALL    32056 -625602.0 2083751.6   0.75 -310038.2 -315563.8 -219917.0 -405685.0  -1272.1  26360  fail   <-- ROSTER

s:be200_t500    BTC     1104  -16530.3  50652.4   0.74 -12314.2  -4216.1    692.2 -17222.5   -437.5    922  fail
s:be200_t500    ETH     1706  -41340.6  80322.1   0.64 -31894.1  -9446.5  -3037.8 -38302.9   -989.1   1420  fail
s:be200_t500    SOL     2650  -46338.6 196587.8   0.80 -11349.6 -34988.9  -9315.5 -37023.0  -1272.1   2150  fail
s:be200_t500    BNB     1532  -22518.6  92583.2   0.79  -8061.4 -14457.2 -12489.3 -10029.2   -728.3   1260  fail
s:be200_t500    ADA     2144  -26804.1 158063.9   0.85 -14629.3 -12174.7  -2025.9 -24778.1   -705.3   1758  fail
s:be200_t500    TRX     1156  -12392.0  82104.5   0.86 -12755.5    363.4  -2267.3 -10124.8   -586.4    918  fail
s:be200_t500    DOGE    2252  -25495.4 215633.0   0.88   9108.3 -34603.7 -33106.0   7610.6  -1055.1   1858  fail
s:be200_t500    NEAR    2940  -96751.9 213198.1   0.68 -63862.2 -32889.7 -15531.7 -81220.2  -1164.1   2388  fail
s:be200_t500    AAVE    2594  -32635.3 200859.7   0.85 -18147.5 -14487.8 -19840.5 -12794.8   -768.6   2048  fail
s:be200_t500    OP      2014  -60177.5 129032.7   0.67 -40479.2 -19698.3 -13765.3 -46412.1   -805.2   1658  fail
s:be200_t500    ALL    20092 -380984.2 1419037.4   0.78 -197768.0 -183216.2 -110687.2 -270297.1  -1272.1  16380  fail   <-- ROSTER

s:be200_t500_c4 BTC      288  -10633.6  10196.9   0.47  -6233.7  -4399.9  -1511.1  -9122.5   -388.0    248  fail
s:be200_t500_c4 ETH      634  -26652.5  31245.7   0.52 -15932.6 -10719.9  -3514.9 -23137.6   -989.1    524  fail
s:be200_t500_c4 SOL     1394  -21268.8 123872.5   0.85   1367.0 -22635.7  -8988.3 -12280.5  -1272.1   1108  fail
s:be200_t500_c4 BNB      566    2474.9  55523.7   1.05   7271.0  -4796.1  -1238.8   3713.7   -728.3    434  fail
s:be200_t500_c4 ADA     1034  -20264.2  80950.6   0.79 -11990.1  -8274.0  -7427.0 -12837.2   -705.3    834  fail
s:be200_t500_c4 TRX      500     465.3  51308.6   1.01  -4200.1   4665.4    322.1    143.2   -586.4    374  fail
s:be200_t500_c4 DOGE    1100   -4484.0 140076.0   0.97  21570.8 -26054.8 -21217.7  16733.7  -1055.1    894  fail
s:be200_t500_c4 NEAR    1780  -54163.1 153099.2   0.73 -35379.7 -18783.4    739.5 -54902.6  -1164.1   1406  fail
s:be200_t500_c4 AAVE    1410  -28457.5 115750.6   0.79 -16524.2 -11933.2 -13641.8 -14815.7   -709.3   1100  fail
s:be200_t500_c4 OP      1102  -41538.4  76534.0   0.64 -19444.0 -22094.4  -4412.4 -37126.0   -630.5    930  fail
s:be200_t500_c4 ALL     9808 -204521.8 838557.6   0.79 -75125.9 -129395.8 -60890.4 -143631.3  -1272.1   7852  fail   <-- ROSTER

=== INTRABAR-STOP BOUND (BeSim; y:selfcheck must equal BASELINE per coin) ===
y:selfcheck(close)  BTC     3876  -74563.4        -   0.62 -40284.2 -34279.3 -22944.9 -51618.5   -437.5   3130  fail
y:selfcheck(close)  ETH     5115  -96789.3        -   0.68 -53101.5 -43687.8 -34914.9 -61874.4   -750.7   4040  fail
y:selfcheck(close)  SOL     6874 -135158.1        -   0.73 -55543.2 -79614.9 -54547.4 -80610.8  -1272.1   5358  fail
y:selfcheck(close)  BNB     4845  -87025.9        -   0.69 -37280.0 -49745.9 -38869.4 -48156.5   -728.3   3825  fail
y:selfcheck(close)  ADA     6077 -117792.3        -   0.71 -66962.0 -50830.3 -24162.2 -93630.1   -701.4   4840  fail
y:selfcheck(close)  TRX     3594  -51738.2        -   0.75 -33399.1 -18339.1 -23069.3 -28668.9   -586.4   2830  fail
y:selfcheck(close)  DOGE    6279 -122029.8        -   0.74 -43887.4 -78142.4 -68876.8 -53153.0  -1055.1   5016  fail
y:selfcheck(close)  NEAR    7110 -206898.9        -   0.65 -129601.7 -77297.2 -52866.1 -154032.9  -1164.1   5493  fail
y:selfcheck(close)  AAVE    6969 -139327.8        -   0.73 -69749.0 -69578.7 -50727.3 -88600.5  -1172.8   5373  fail
y:selfcheck(close)  OP      5183 -101183.5        -   0.73 -54146.3 -47037.1 -22151.1 -79032.4   -805.2   4037  fail
y:selfcheck(close)  ALL    55922 -1132507.3        -   0.71 -575897.6 -556609.6 -393129.3 -739378.0  -1272.1  43942  fail   <-- ROSTER

y:intrabar(live)    BTC     5905 -143161.4        -   0.01 -77539.4 -65622.0 -57572.6 -85588.8   -480.3   5894  fail
y:intrabar(live)    ETH     7857 -206254.5        -   0.02 -116415.3 -89839.2 -72209.6 -134044.9   -647.0   7827  fail
y:intrabar(live)    SOL    10374 -326740.9        -   0.04 -188737.2 -138003.6 -132225.5 -194515.3  -1272.1  10287  fail
y:intrabar(live)    BNB     7592 -207506.9        -   0.02 -118899.1 -88607.8 -88606.5 -118900.3   -729.1   7549  fail
y:intrabar(live)    ADA     9092 -261886.4        -   0.06 -143194.8 -118691.6 -82237.3 -179649.1   -778.0   8999  fail
y:intrabar(live)    TRX     5758 -161379.6        -   0.01 -91090.5 -70289.1 -78775.8 -82603.8   -586.4   5733  fail
y:intrabar(live)    DOGE    9143 -307221.1        -   0.06 -165005.2 -142215.9 -115650.0 -191571.1  -2298.5   9067  fail
y:intrabar(live)    NEAR   10666 -366767.8        -   0.05 -196650.6 -170117.2 -140217.0 -226550.7   -701.0  10535  fail
y:intrabar(live)    AAVE   10583 -340283.0        -   0.05 -186684.1 -153598.9 -107449.9 -232833.1   -776.8  10446  fail
y:intrabar(live)    OP      7718 -251436.7        -   0.06 -129564.4 -121872.2 -69045.4 -182391.3   -766.1   7633  fail
y:intrabar(live)    ALL    84688 -2572638.1        -   0.04 -1401958.5 -1170679.6 -943989.7 -1628648.4  -2298.5  83970  fail   <-- ROSTER

y:ib_be100_t300     BTC     2720  -60816.5        -   0.00 -30046.6 -30769.9 -25333.5 -35482.9   -480.3   2718  fail
y:ib_be100_t300     ETH     3930  -94843.4        -   0.05 -54621.0 -40222.4 -30587.0 -64256.4   -989.1   3914  fail
y:ib_be100_t300     SOL     5902 -186850.6        -   0.02 -110462.8 -76387.8 -69403.9 -117446.7  -1272.1   5878  fail
y:ib_be100_t300     BNB     3702 -107769.8        -   0.01 -66041.8 -41728.0 -36888.8 -70881.0   -729.1   3690  fail
y:ib_be100_t300     ADA     4872 -129044.5        -   0.10 -67951.2 -61093.4 -46422.8 -82621.8   -778.0   4822  fail
y:ib_be100_t300     TRX     2772  -80894.9        -   0.01 -44015.5 -36879.4 -37526.9 -43368.0   -637.4   2764  fail
y:ib_be100_t300     DOGE    4936 -156503.8        -   0.09 -88106.9 -68396.9 -57372.2 -99131.6  -2298.5   4908  fail
y:ib_be100_t300     NEAR    6454 -211530.4        -   0.04 -115700.7 -95829.7 -82993.3 -128537.1   -701.0   6412  fail
y:ib_be100_t300     AAVE    5912 -169803.7        -   0.09 -87685.4 -82118.3 -59012.1 -110791.6  -1207.1   5846  fail
y:ib_be100_t300     OP      4376 -135099.1        -   0.05 -69038.8 -66060.3 -40164.3 -94934.8   -766.1   4344  fail
y:ib_be100_t300     ALL    45576 -1333156.7        -   0.05 -729436.0 -603720.7 -485704.7 -847452.0  -2298.5  45296  fail   <-- ROSTER

y:ib_be200_t500     BTC     1396  -31521.6        -   0.00 -16647.4 -14874.2 -12966.5 -18555.1   -388.0   1396  fail
y:ib_be200_t500     ETH     2108  -51918.7        -   0.02 -28637.1 -23281.5 -17283.9 -34634.8   -989.1   2102  fail
y:ib_be200_t500     SOL     3438 -110584.0        -   0.00 -64223.3 -46360.7 -38967.0 -71616.9  -1272.1   3432  fail
y:ib_be200_t500     BNB     1952  -56648.0        -   0.02 -35091.5 -21556.6 -19768.5 -36879.6   -729.1   1942  fail
y:ib_be200_t500     ADA     2728  -71291.2        -   0.13 -35989.9 -35301.3 -26418.6 -44872.6   -778.0   2700  fail
y:ib_be200_t500     TRX     1474  -40803.1        -   0.05 -23106.7 -17696.4 -17140.0 -23663.1   -637.4   1464  fail
y:ib_be200_t500     DOGE    2826  -89965.7        -   0.15 -49717.4 -40248.3 -33276.2 -56689.5  -2298.5   2808  fail
y:ib_be200_t500     NEAR    3816 -118150.6        -   0.06 -62794.7 -55355.9 -48397.2 -69753.4   -854.8   3798  fail
y:ib_be200_t500     AAVE    3414 -100033.4        -   0.06 -52553.4 -47480.0 -33353.0 -66680.4   -709.3   3388  fail
y:ib_be200_t500     OP      2510  -75658.3        -   0.04 -40674.0 -34984.3 -21923.6 -53734.7   -555.1   2490  fail
y:ib_be200_t500     ALL    25662 -746574.5        -   0.06 -406842.3 -339732.2 -269494.4 -477080.1  -2298.5  25520  fail   <-- ROSTER

