=== FIDELITY: X(gates off) vs LIVE header ===
  BTC   n=3876/3876 real=-74563.42/-74563.42 OK
  ETH   n=5115/5115 real=-96789.28/-96789.28 OK
  SOL   n=6874/6874 real=-135158.13/-135158.13 OK
  BNB   n=4845/4845 real=-87025.92/-87025.92 OK
  ADA   n=6077/6077 real=-117792.32/-117792.32 OK
  TRX   n=3594/3594 real=-51738.23/-51738.23 OK
  DOGE  n=6279/6279 real=-122029.78/-122029.78 OK
  NEAR  n=7110/7110 real=-206898.94/-206898.94 OK
  AAVE  n=6969/6969 real=-139327.75/-139327.75 OK
  OP    n=5183/5183 real=-101183.48/-101183.48 OK

=== ADA incident replication (live ledger: ENGINE_EXIT real=-122.12 x2 @1783378800000) ===

=== SWEEP — REAL column (net = worse-of fill - 20bp RT); model shown for reference ===
variant         coin       n   netREAL    model     PF       H1       H2     bull     bear    worst    neg  all6
b:expand=1      OP      5110  -99907.5 361483.4   0.73 -52484.4 -47423.1 -21706.8 -78200.7   -805.2   3976  fail
b:expand=1      ALL    54925 -1106982.5 3563243.7   0.71 -560893.4 -546089.1 -381362.0 -725620.5  -1272.1  43083  fail   <-- ROSTER

b:expand=2      BTC     3762  -71885.8 158167.0   0.62 -40606.3 -31279.5 -21618.3 -50267.5   -437.5   3030  fail
b:expand=2      ETH     5018  -94420.2 260003.0   0.68 -52463.5 -41956.7 -33160.5 -61259.7   -750.7   3955  fail
b:expand=2      SOL     6823 -133674.7 476731.1   0.73 -54464.0 -79210.7 -52161.0 -81513.6  -1272.1   5314  fail
b:expand=2      BNB     4738  -83970.7 256214.9   0.70 -35372.9 -48597.7 -36904.2 -47066.4   -728.3   3734  fail
b:expand=2      ADA     5999 -116424.8 380180.7   0.71 -66440.4 -49984.4 -24538.1 -91886.7   -701.4   4773  fail
b:expand=2      TRX     3524  -52104.5 209047.7   0.74 -36928.4 -15176.0 -23401.4 -28703.1   -586.4   2771  fail
b:expand=2      DOGE    6194 -119917.6 471073.1   0.74 -42649.0 -77268.6 -67434.0 -52483.6  -1055.1   4936  fail
b:expand=2      NEAR    7059 -205720.4 510026.7   0.65 -128406.6 -77313.8 -53124.1 -152596.3  -1164.1   5450  fail
b:expand=2      AAVE    6898 -137790.4 491616.8   0.73 -68509.4 -69281.0 -49414.8 -88375.5  -1172.8   5313  fail
b:expand=2      OP      5134 -100829.2 362689.2   0.73 -53015.6 -47813.6 -21528.0 -79301.2   -805.2   3998  fail
b:expand=2      ALL    55149 -1116738.1 3575750.3   0.71 -565673.1 -551064.9 -383284.5 -733453.6  -1272.1  43274  fail   <-- ROSTER

b:expand=3      BTC     3762  -71809.2 158183.5   0.62 -40327.7 -31481.5 -21641.0 -50168.2   -437.5   3030  fail
b:expand=3      ETH     5024  -95116.9 260003.0   0.68 -52983.7 -42133.2 -33321.2 -61795.7   -750.7   3961  fail
b:expand=3      SOL     6831 -134172.6 477285.8   0.73 -54819.4 -79353.3 -53035.3 -81137.4  -1272.1   5320  fail
b:expand=3      BNB     4746  -84100.0 256658.0   0.70 -35275.4 -48824.6 -36906.9 -47193.1   -728.3   3740  fail
b:expand=3      ADA     6000 -115753.6 380549.4   0.71 -65916.8 -49836.8 -24627.3 -91126.4   -701.4   4772  fail
b:expand=3      TRX     3532  -52525.4 209101.5   0.74 -36971.5 -15553.9 -23658.4 -28867.0   -586.4   2779  fail
b:expand=3      DOGE    6203 -120278.6 471406.6   0.74 -42755.4 -77523.2 -67632.9 -52645.7  -1055.1   4944  fail
b:expand=3      NEAR    7070 -205953.7 510371.2   0.65 -128579.6 -77374.1 -53248.7 -152705.0  -1164.1   5460  fail
b:expand=3      AAVE    6906 -137946.7 491795.9   0.73 -68376.9 -69569.8 -50182.4 -87764.3  -1172.8   5318  fail
b:expand=3      OP      5138 -100610.1 363280.5   0.73 -52965.3 -47644.8 -21833.6 -78776.6   -805.2   3999  fail
b:expand=3      ALL    55212 -1118266.9 3578635.4   0.71 -566520.1 -551746.8 -386087.6 -732179.3  -1272.1  43323  fail   <-- ROSTER

b:expand=4      BTC     3768  -72057.9 158406.9   0.62 -40350.8 -31707.1 -21573.6 -50484.3   -437.5   3035  fail
b:expand=4      ETH     5030  -94520.1 260758.5   0.68 -52282.5 -42237.6 -33453.9 -61066.3   -750.7   3962  fail
