INJ SWEET-SPOT VALIDATION SWEEP — 2026-07-14
Replicates S-2026-07-13 methodology (ChimeraCrypto ec810117) for INJUSDT (never swept).
Tool: upjump_earlyarm_bt confirmcut/confirmrand (binary of 2026-07-13, driven from /Users/jo/Crypto/backtest)
Data: data/INJUSDT_1h.csv — Binance public klines, 30,968 bars 2023-01-01..2026-07-14 UTC,
      close range $1.253-$52.38, 0 gaps >2h (fetched this session).
Grid: W in {1,2,3,4,6,8,12,24}h x thr in {0.5..8.0 step 0.5}% = 128 cells.
Cell config: confirm=20bp, CC_RT=20bp, CC_CUT=50bp, CC_FROMYEAR=2023, BE-N6 arms {0.2,2,3,4,6,8}.
Gate stack: net>0, PF>=1.3, n>=30, H1>0 AND H2>0, exbestEpi>0; then plateau (thr+/-0.5%),
            2x-cost re-sim (RT=40: net>0, PF>=1.2ish), confirmrand 20-seed z>=2.

FULL GRID (columns after win= : confirm | n net% PF worst_bp | nRev sumRev% | nNeg sumNeg% | nvrOpen | H1% H2% | y2022% y23-26% | exbestEpi bestEpi%)
W=3  thr=0.5% win=2923      20bp |  6378     -1345   0.76   -827.0 |  1279   -2101.6 |  4697   -5562.1 |  11160 |      -838      -507 |       +0      -1345 |     -1477     +132
W=3  thr=1.0% win=2062      20bp |  5154      -645   0.87   -827.0 |  1273   -2143.8 |  3761   -5061.1 |   7218 |      -457      -188 |       +0       -645 |      -777     +132
W=3  thr=1.5% win=1456      20bp |  3867      -659   0.85   -827.0 |  1199   -2082.3 |  2820   -4309.1 |   4869 |      -260      -399 |       +0       -659 |      -775     +116
W=3  thr=2.0% win=989       20bp |  2807      -530   0.85   -827.0 |  1011   -1884.3 |  2047   -3461.5 |   3127 |      -340      -190 |       +0       -530 |      -646     +116
W=3  thr=2.5% win=685       20bp |  2079      -484   0.83   -737.3 |   777   -1524.1 |  1560   -2793.8 |   2031 |      -493        +9 |       +0       -484 |      -625     +141
W=3  thr=3.0% win=462       20bp |  1433      -306   0.85   -827.0 |   573   -1191.1 |  1067   -2032.5 |   1339 |      -289       -17 |       +0       -306 |      -476     +170
W=3  thr=3.5% win=344       20bp |  1031       +47   1.03   -937.3 |   390    -841.6 |   729   -1459.1 |   1033 |      -230      +277 |       +0        +47 |      -123     +170
W=3  thr=4.0% win=248       20bp |   747       +16   1.02   -827.0 |   299    -598.7 |   544   -1029.4 |    741 |       -41       +58 |       +0        +16 |      -125     +141
W=3  thr=4.5% win=176       20bp |   540       +87   1.11   -612.9 |   226    -461.3 |   413    -793.3 |    516 |      -173      +260 |       +0        +87 |       -57     +145
W=3  thr=5.0% win=128       20bp |   407        -8   0.99   -806.7 |   166    -348.6 |   302    -606.0 |    361 |       -57       +49 |       +0         -8 |      -140     +132
W=3  thr=5.5% win=83        20bp |   273       -94   0.79   -806.7 |   113    -237.8 |   207    -444.5 |    225 |       -72       -22 |       +0        -94 |      -226     +132
W=3  thr=6.0% win=66        20bp |   222      -155   0.60   -806.7 |   100    -223.7 |   178    -386.8 |    174 |      -152        -3 |       +0       -155 |      -287     +132
W=3  thr=6.5% win=54        20bp |   191       -55   0.82   -709.4 |    76    -168.9 |   143    -303.6 |    133 |      -116       +61 |       +0        -55 |      -195     +140
W=3  thr=7.0% win=45        20bp |   166       -42   0.83   -709.4 |    68    -149.1 |   126    -256.6 |    104 |      -106       +63 |       +0        -42 |      -182     +140
W=3  thr=7.5% win=39        20bp |   133       -48   0.78   -709.4 |    59    -137.3 |   104    -222.4 |    101 |      -122       +74 |       +0        -48 |      -188     +140
W=3  thr=8.0% win=30        20bp |   122      -200   0.11   -709.4 |    55    -141.9 |   101    -224.8 |     58 |      -116       -83 |       +0       -200 |      -205       +5
W=4  thr=0.5% win=2532      20bp |  5874     -1072   0.80   -974.5 |  1311   -2224.5 |  4323   -5498.9 |   9318 |      -567      -506 |       +0      -1072 |     -1204     +132
W=4  thr=1.0% win=1815      20bp |  4754      -971   0.80   -974.5 |  1283   -2200.7 |  3501   -4918.1 |   6136 |      -676      -295 |       +0       -971 |     -1086     +116
W=4  thr=1.5% win=1348      20bp |  3711      -832   0.81   -974.5 |  1222   -2148.9 |  2753   -4311.4 |   4377 |      -421      -411 |       +0       -832 |      -957     +125
W=4  thr=2.0% win=982       20bp |  2886      -851   0.77   -974.5 |  1062   -2022.1 |  2143   -3655.6 |   3006 |      -420      -431 |       +0       -851 |      -991     +141
W=4  thr=2.5% win=729       20bp |  2133      -535   0.82   -848.9 |   823   -1641.2 |  1591   -2894.7 |   2241 |      -367      -168 |       +0       -535 |      -675     +141
W=4  thr=3.0% win=513       20bp |  1526      -225   0.90   -974.5 |   661   -1373.3 |  1165   -2200.0 |   1552 |      -443      +217 |       +0       -225 |      -382     +156
W=4  thr=3.5% win=382       20bp |  1157      -240   0.85   -974.5 |   480    -985.8 |   848   -1610.7 |   1135 |      -211       -29 |       +0       -240 |      -360     +120
W=4  thr=4.0% win=281       20bp |   876       -23   0.98   -974.5 |   358    -718.0 |   648   -1212.9 |    810 |      -115       +92 |       +0        -23 |      -164     +141
W=4  thr=4.5% win=213       20bp |   653      -118   0.88   -974.5 |   277    -578.1 |   491    -952.5 |    625 |      -194       +77 |       +0       -118 |      -249     +132
W=4  thr=5.0% win=165       20bp |   519      -104   0.87   -670.0 |   235    -506.9 |   394    -790.8 |    471 |      -306      +201 |       +0       -104 |      -247     +142
W=4  thr=5.5% win=124       20bp |   386      -341   0.45   -648.5 |   177    -386.5 |   305    -624.9 |    358 |      -263       -78 |       +0       -341 |      -473     +132
W=4  thr=6.0% win=94        20bp |   311      -305   0.43   -648.5 |   139    -323.7 |   247    -535.6 |    253 |      -197      -108 |       +0       -305 |      -437     +132
W=4  thr=6.5% win=69        20bp |   250       -99   0.76   -677.2 |    99    -230.8 |   190    -406.8 |    164 |       -68       -30 |       +0        -99 |      -231     +132
W=4  thr=7.0% win=51        20bp |   199       -39   0.87   -709.4 |    69    -162.0 |   144    -303.6 |    107 |       -62       +23 |       +0        -39 |      -171     +132
W=4  thr=7.5% win=45        20bp |   165       -80   0.71   -709.4 |    65    -152.0 |   129    -274.9 |    105 |       -87        +7 |       +0        -80 |      -209     +129
W=4  thr=8.0% win=37        20bp |   147      -181   0.27   -709.4 |    55    -131.4 |   118    -246.7 |     75 |       -72      -109 |       +0       -181 |      -212      +31
W=6  thr=0.5% win=2031      20bp |  4883     -1218   0.76   -848.9 |  1395   -2446.3 |  3562   -5134.8 |   7303 |      -799      -418 |       +0      -1218 |     -1325     +107
W=6  thr=1.0% win=1533      20bp |  4093     -1267   0.73   -848.9 |  1357   -2473.5 |  3039   -4738.0 |   5105 |     -1004      -263 |       +0      -1267 |     -1405     +139
W=6  thr=1.5% win=1162      20bp |  3329     -1016   0.75  -1093.3 |  1247   -2255.3 |  2490   -4015.1 |   3643 |      -841      -175 |       +0      -1016 |     -1154     +139
W=6  thr=2.0% win=901       20bp |  2680      -685   0.80  -1093.3 |  1002   -1882.8 |  1990   -3388.3 |   2726 |      -583      -101 |       +0       -685 |      -823     +139
W=6  thr=2.5% win=720       20bp |  2175      -411   0.86  -1093.3 |   890   -1722.2 |  1627   -2866.5 |   2145 |      -513      +102 |       +0       -411 |      -550     +139
W=6  thr=3.0% win=566       20bp |  1749      -423   0.83  -1093.3 |   754   -1524.0 |  1331   -2451.7 |   1647 |      -612      +189 |       +0       -423 |      -565     +143
W=6  thr=3.5% win=442       20bp |  1377      -606   0.69  -1093.3 |   609   -1244.4 |  1038   -1976.2 |   1275 |      -567       -39 |       +0       -606 |      -749     +143
W=6  thr=4.0% win=345       20bp |  1070      -572   0.65  -1093.3 |   477    -995.5 |   828   -1642.3 |   1000 |      -450      -122 |       +0       -572 |      -699     +127
W=6  thr=4.5% win=265       20bp |   863      -289   0.77  -1093.3 |   373    -783.0 |   651   -1276.1 |    727 |      -257       -32 |       +0       -289 |      -429     +141
W=6  thr=5.0% win=202       20bp |   644      -295   0.68  -1093.3 |   276    -583.3 |   475    -929.3 |    568 |      -215       -80 |       +0       -295 |      -427     +132
W=6  thr=5.5% win=159       20bp |   527      -302   0.61   -738.0 |   231    -493.1 |   398    -776.7 |    427 |      -154      -149 |       +0       -302 |      -434     +132
W=6  thr=6.0% win=134       20bp |   468      -282   0.60   -738.0 |   204    -432.5 |   368    -708.9 |    336 |      -185       -97 |       +0       -282 |      -413     +132
