date,open,high,low,close,volume
2017-12-13,272.000000,330.000000,260.000000,290.010000,9565.16
2017-12-14,290.010000,302.720000,252.000000,272.400000,9631.98
2017-12-15,272.400000,314.210000,239.990000,294.000000,16579.78
2017-12-16,294.000000,305.000000,285.000000,293.970000,9102.10
2017-12-17,293.010000,328.800000,290.000000,311.400000,14682.26
2017-12-18,311.230000,360.960000,277.000000,352.000000,17210.06
2017-12-19,352.000000,366.960000,303.010000,338.480000,23190.33
2017-12-20,336.050000,357.000000,260.000000,302.700000,31586.77
2017-12-21,303.800000,325.160000,267.010000,302.000000,26212.16
2017-12-22,303.000000,315.000000,177.580000,250.990000,81233.42
2017-12-23,250.990000,301.520000,214.910000,253.440000,38709.14
2017-12-24,253.440000,277.000000,220.030000,262.900000,33435.37
2017-12-25,262.900000,277.500000,251.400000,261.200000,24415.69
2017-12-26,261.170000,282.820000,258.000000,277.980000,21987.89
2017-12-27,277.980000,284.340000,245.290000,262.590000,25036.79
2017-12-28,262.610000,266.700000,222.030000,244.680000,34832.27
2017-12-29,244.680000,261.000000,233.970000,238.270000,34985.03
2017-12-30,238.270000,244.000000,193.200000,206.030000,52930.18
2017-12-31,206.110000,234.370000,202.980000,223.690000,29739.10
2018-01-01,223.690000,231.190000,212.740000,222.610000,20221.25
2018-01-02,222.620000,256.490000,222.620000,247.330000,63293.13
2018-01-03,247.330000,253.400000,233.560000,238.770000,71369.27
2018-01-04,238.890000,240.000000,219.380000,233.000000,78182.30
2018-01-05,233.040000,250.990000,230.000000,240.540000,65010.14
2018-01-06,240.950000,315.000000,238.730000,275.280000,100812.21
2018-01-07,276.240000,287.000000,262.000000,269.010000,43811.61
2018-01-08,269.010000,271.820000,212.740000,252.650000,76256.97
2018-01-09,252.490000,257.640000,228.240000,244.480000,53921.90
2018-01-10,244.560000,248.990000,225.050000,247.630000,70931.30
2018-01-11,247.630000,252.270000,195.030000,223.770000,83842.47
2018-01-12,223.760000,240.450000,213.010000,233.110000,45676.81
2018-01-13,233.110000,263.990000,232.540000,257.980000,42811.13
2018-01-14,257.980000,271.640000,222.000000,234.120000,62203.40
2018-01-15,234.260000,242.310000,227.600000,229.500000,35755.95
2018-01-16,229.500000,242.000000,135.670000,179.280000,150044.07
2018-01-17,179.280000,198.890000,136.200000,182.440000,155640.01
2018-01-18,183.450000,202.190000,170.500000,186.140000,98372.76
2018-01-19,186.210000,199.000000,176.040000,191.420000,59369.45
2018-01-20,191.440000,215.000000,190.670000,210.400000,59162.65
2018-01-21,210.050000,210.690000,180.000000,190.160000,64817.01
2018-01-22,190.520000,195.000000,163.440000,178.000000,60376.36
2018-01-23,178.000000,186.420000,163.020000,176.980000,49510.39
2018-01-24,176.940000,186.300000,171.580000,180.890000,43298.50
2018-01-25,180.830000,186.000000,175.580000,179.590000,39819.99
2018-01-26,179.000000,183.060000,165.000000,177.090000,49473.66
2018-01-27,175.730000,184.000000,173.000000,182.100000,31424.87
2018-01-28,182.110000,198.000000,181.700000,196.740000,47275.56
2018-01-29,196.740000,197.190000,180.010000,181.500000,36900.24
2018-01-30,181.510000,181.960000,160.590000,168.210000,56599.48
2018-01-31,168.100000,169.310000,157.500000,165.190000,37253.63
2018-02-01,164.830000,167.200000,132.000000,143.690000,64818.92
2018-02-02,144.040000,147.000000,108.520000,131.680000,124193.04
2018-02-03,131.990000,166.990000,120.060000,160.300000,143242.71
2018-02-04,160.860000,174.750000,138.000000,147.090000,300059.19
2018-02-05,147.290000,153.960000,116.600000,125.170000,299970.42
2018-02-06,125.170000,147.000000,106.500000,141.000000,393108.75
2018-02-07,140.960000,157.000000,130.010000,137.210000,178588.57
2018-02-08,137.970000,143.500000,137.200000,142.370000,3877.47
2018-02-09,142.370000,164.400000,142.370000,163.730000,65205.09
2018-02-10,163.740000,169.000000,146.010000,154.650000,133107.16
2018-02-11,154.620000,156.100000,139.000000,148.280000,90638.82
2018-02-12,148.280000,163.750000,146.040000,161.490000,92515.30
2018-02-13,161.550000,162.950000,152.000000,159.630000,76565.22
2018-02-14,159.450000,218.600000,158.940000,212.250000,734010.65
2018-02-15,212.250000,236.660000,206.500000,220.640000,676400.69
2018-02-16,220.640000,235.580000,208.560000,228.080000,408040.45
2018-02-17,228.000000,232.200000,222.780000,228.000000,190064.55
2018-02-18,228.080000,231.390000,210.100000,213.660000,302164.91
2018-02-19,213.230000,226.500000,196.000000,221.440000,171716.20
2018-02-20,221.440000,254.800000,221.000000,228.510000,534334.84
2018-02-21,228.500000,233.530000,203.120000,209.600000,493443.00
2018-02-22,209.600000,222.000000,188.000000,192.610000,396496.55
2018-02-23,192.690000,216.280000,182.000000,206.400000,427034.15
2018-02-24,206.380000,219.000000,192.300000,206.500000,326443.09
2018-02-25,206.690000,223.170000,198.940000,217.780000,314689.26
2018-02-26,218.160000,232.300000,214.430000,218.500000,408480.12
2018-02-27,218.250000,224.360000,211.800000,214.600000,248945.79
2018-02-28,214.940000,223.710000,201.500000,201.860000,185588.09
2018-03-01,201.860000,215.000000,200.200000,209.170000,121521.21
2018-03-02,209.140000,214.470000,203.430000,212.800000,89853.18
2018-03-03,212.800000,218.390000,208.000000,210.040000,120120.98
2018-03-04,210.000000,215.340000,204.500000,213.190000,67079.94
2018-03-05,213.190000,217.000000,208.170000,210.140000,71680.40
2018-03-06,210.030000,210.490000,191.310000,196.240000,130006.54
2018-03-07,196.200000,199.280000,173.080000,185.250000,229372.21
2018-03-08,185.330000,187.500000,173.690000,175.240000,160132.54
2018-03-09,175.060000,190.000000,157.680000,185.790000,308773.92
2018-03-10,185.880000,194.990000,174.480000,176.740000,187043.85
2018-03-11,176.850000,194.000000,169.850000,188.160000,197705.67
2018-03-12,188.160000,192.880000,173.580000,177.800000,142835.11
2018-03-13,177.800000,182.900000,170.510000,175.010000,115964.96
2018-03-14,175.380000,177.520000,156.500000,160.150000,151320.18
2018-03-15,160.000000,167.700000,149.550000,164.000000,207428.04
2018-03-16,164.000000,171.600000,157.500000,164.100000,113818.45
2018-03-17,164.120000,165.960000,150.200000,151.750000,105128.93
2018-03-18,151.700000,158.000000,136.860000,153.500000,241693.70
2018-03-19,153.590000,163.880000,150.660000,161.200000,171855.32
2018-03-20,161.180000,174.000000,155.410000,168.240000,125783.56
