date,open,high,low,close,volume
2018-05-04,0.500000,1.500000,0.500000,0.889900,20890213.82
2018-05-05,0.889800,0.935000,0.888000,0.902800,16816165.30
2018-05-06,0.902800,0.918000,0.837740,0.864830,16002035.80
2018-05-07,0.864820,0.868860,0.800000,0.824900,17303486.40
2018-05-08,0.824900,0.848020,0.792000,0.806670,12971303.18
2018-05-09,0.806670,0.818940,0.756900,0.794810,13982375.89
2018-05-10,0.794810,0.805720,0.740850,0.745580,10136895.73
2018-05-11,0.749200,0.756020,0.647580,0.676100,31292480.04
2018-05-12,0.673760,0.710000,0.625190,0.685220,18181151.11
2018-05-13,0.681920,0.750100,0.664560,0.729990,17521261.77
2018-05-14,0.729990,0.749900,0.685850,0.726940,21771364.96
2018-05-15,0.726950,0.748920,0.680100,0.689000,12951988.45
2018-05-16,0.689000,0.712000,0.657560,0.705850,11182432.70
2018-05-17,0.709420,0.712000,0.648200,0.658490,10070061.14
2018-05-18,0.658490,0.682550,0.646000,0.677660,10140675.13
2018-05-19,0.676980,0.691390,0.661100,0.673390,6854397.75
2018-05-20,0.674830,0.706590,0.668000,0.699400,8055673.92
2018-05-21,0.699400,0.705000,0.666660,0.676120,7908213.57
2018-05-22,0.676120,0.678170,0.635000,0.637820,7567010.71
2018-05-23,0.637820,0.644880,0.573100,0.591980,20078062.21
2018-05-24,0.590530,0.640000,0.576170,0.628140,14214140.10
2018-05-25,0.629660,0.633910,0.593360,0.604590,20060607.91
2018-05-26,0.605960,0.626180,0.597710,0.608520,25800066.42
2018-05-27,0.609070,0.648000,0.597050,0.604160,23735080.80
2018-05-28,0.604170,0.609100,0.543400,0.546890,29854808.11
2018-05-29,0.546890,0.609210,0.543030,0.599980,30948291.22
2018-05-30,0.599700,0.626000,0.581010,0.601490,31305613.07
2018-05-31,0.600510,0.622550,0.588290,0.611400,33579966.89
2018-06-01,0.611400,0.624280,0.602400,0.621510,34403361.87
2018-06-02,0.622360,0.652040,0.615130,0.642690,37211532.20
2018-06-03,0.642850,0.691010,0.638620,0.690100,37142715.53
2018-06-04,0.690100,0.707000,0.635100,0.655070,48289982.65
2018-06-05,0.655080,0.686000,0.632800,0.674640,42509387.77
2018-06-06,0.675070,0.683300,0.653000,0.674100,34326183.79
2018-06-07,0.673800,0.690000,0.670890,0.677560,35031819.04
2018-06-08,0.677700,0.680000,0.658320,0.672100,32089604.02
2018-06-09,0.672110,0.680000,0.655140,0.657400,31323211.84
2018-06-10,0.656870,0.658500,0.550000,0.582010,47688606.63
2018-06-11,0.582020,0.600000,0.560000,0.599890,23744329.91
2018-06-12,0.599010,0.599100,0.541500,0.555600,29332950.65
2018-06-13,0.555600,0.561240,0.504010,0.528620,36877773.15
2018-06-14,0.528630,0.569000,0.519340,0.557690,35000456.50
2018-06-15,0.557650,0.559270,0.524470,0.532580,25702497.70
2018-06-16,0.532240,0.538500,0.517330,0.532750,26240580.60
2018-06-17,0.532320,0.543700,0.519990,0.526170,33461820.80
2018-06-18,0.526690,0.553500,0.508180,0.538700,33893328.60
2018-06-19,0.538350,0.561850,0.520700,0.548340,28857265.30
2018-06-20,0.548330,0.551880,0.520650,0.539160,34683099.00
2018-06-21,0.539190,0.549000,0.528990,0.534570,29891909.80
2018-06-22,0.534200,0.535060,0.468590,0.482160,41843180.71
2018-06-23,0.482870,0.499090,0.473330,0.490050,27230808.70
2018-06-24,0.489630,0.510000,0.437240,0.473310,41451907.36
2018-06-25,0.474180,0.499200,0.471230,0.481250,31726495.20
2018-06-26,0.481250,0.482410,0.451100,0.453000,17670678.00
2018-06-27,0.452180,0.475180,0.447870,0.470100,29671588.20
2018-06-28,0.470420,0.473960,0.442000,0.445750,35784353.90
2018-06-29,0.446300,0.461240,0.423930,0.453210,37535516.80
2018-06-30,0.453460,0.483180,0.453120,0.467960,37495051.80
2018-07-01,0.467970,0.469890,0.450070,0.462220,31676174.10
2018-07-02,0.462220,0.495400,0.452000,0.489900,39873781.80
2018-07-03,0.489130,0.520000,0.478010,0.484400,44333181.60
2018-07-04,0.484690,0.508000,0.479410,0.490970,26722886.30
2018-07-05,0.491550,0.502950,0.468870,0.476900,30689285.90
2018-07-06,0.477720,0.481560,0.457470,0.476980,26805008.70
2018-07-07,0.476440,0.488000,0.463810,0.484940,28584029.20
2018-07-08,0.485200,0.487980,0.475100,0.479150,31480979.30
2018-07-09,0.478720,0.482010,0.470150,0.473000,26690553.60
2018-07-10,0.472800,0.473380,0.438660,0.443370,30651668.10
2018-07-11,0.442470,0.451340,0.439570,0.448720,28635928.20
2018-07-12,0.449000,0.449320,0.423600,0.436750,30380599.50
2018-07-13,0.437060,0.445090,0.430010,0.437540,33168644.30
2018-07-14,0.437610,0.444300,0.431000,0.438640,27141582.30
2018-07-15,0.438640,0.450040,0.435090,0.446810,33882949.80
2018-07-16,0.446950,0.485800,0.443500,0.481730,41419524.10
2018-07-17,0.481730,0.520190,0.466500,0.507280,48166296.20
2018-07-18,0.506510,0.525250,0.475200,0.488680,48747453.60
2018-07-19,0.488690,0.495000,0.471250,0.476870,36600560.00
2018-07-20,0.477030,0.477300,0.431000,0.444390,40745516.20
2018-07-21,0.444400,0.459000,0.434600,0.455060,28483991.40
2018-07-22,0.454670,0.464090,0.445890,0.448590,32232347.20
2018-07-23,0.448590,0.463710,0.442120,0.444990,30316389.90
2018-07-24,0.445200,0.471500,0.438000,0.458850,43532211.20
2018-07-25,0.457410,0.468780,0.451530,0.459800,42650288.40
2018-07-26,0.459830,0.468870,0.445380,0.449680,38041528.40
2018-07-27,0.448780,0.462000,0.444000,0.455500,35252979.80
2018-07-28,0.455500,0.458870,0.448030,0.456410,27843347.30
2018-07-29,0.456430,0.458490,0.450000,0.453150,31188705.50
2018-07-30,0.453150,0.456210,0.433820,0.445340,32141597.90
2018-07-31,0.446160,0.446410,0.426800,0.435300,31785092.60
2018-08-01,0.435300,0.463820,0.426710,0.446420,39833478.30
2018-08-02,0.446730,0.448880,0.428490,0.429750,33396468.10
2018-08-03,0.430210,0.446190,0.425300,0.440330,44748261.20
2018-08-04,0.440970,0.445000,0.427410,0.429850,35095397.50
2018-08-05,0.429840,0.437050,0.427050,0.434500,34962084.20
2018-08-06,0.434370,0.436990,0.401270,0.412900,40578992.90
2018-08-07,0.413280,0.415670,0.373870,0.378630,41157252.56
2018-08-08,0.378630,0.378630,0.319280,0.331710,72393008.15
2018-08-09,0.331970,0.357990,0.328000,0.344100,51832840.70
